"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00230","Purine metabolism",6,"NME4/GMPS/NUDT5/ENTPD1/ENPP4/AK4"
"hsa00640","Propanoate metabolism",4,"ACSS1/ALDH6A1/MLYCD/ACADS"
"hsa01232","Nucleotide metabolism",4,"NME4/GMPS/ENTPD1/AK4"
"hsa01240","Biosynthesis of cofactors",4,"TPK1/SPR/NME4/AK4"
"hsa00410","beta-Alanine metabolism",3,"ALDH6A1/MLYCD/ACADS"
"hsa00052","Galactose metabolism",3,"GALM/GALT/GALE"
"hsa01250","Biosynthesis of nucleotide sugars",3,"GALT/GMDS/GALE"
"hsa00280","Valine, leucine and isoleucine degradation",3,"ALDH6A1/HMGCS1/ACADS"
"hsa01200","Carbon metabolism",3,"ACSS1/ALDH6A1/ACADS"
"hsa00730","Thiamine metabolism",2,"TPK1/AK4"
"hsa00650","Butanoate metabolism",2,"HMGCS1/ACADS"
"hsa00520","Amino sugar and nucleotide sugar metabolism",2,"GALT/GALE"
"hsa00071","Fatty acid degradation",2,"ACSL5/ACADS"
"hsa01212","Fatty acid metabolism",2,"ACSL5/ACADS"
"hsa00240","Pyrimidine metabolism",2,"NME4/ENTPD1"
"hsa00010","Glycolysis / Gluconeogenesis",2,"GALM/ACSS1"
"hsa00562","Inositol phosphate metabolism",2,"ALDH6A1/PIK3C3"
"hsa03320","PPAR signaling pathway",2,"HMGCS1/ACSL5"
"hsa00983","Drug metabolism - other enzymes",2,"NME4/GMPS"
"hsa04146","Peroxisome",2,"MLYCD/ACSL5"
"hsa04142","Lysosome",2,"ATP6V1H/NAGLU"
"hsa04145","Phagosome",2,"ATP6V1H/PIK3C3"
"hsa05152","Tuberculosis",2,"ATP6V1H/PIK3C3"
"hsa00910","Nitrogen metabolism",1,"CA2"
"hsa00061","Fatty acid biosynthesis",1,"ACSL5"
"hsa00531","Glycosaminoglycan degradation",1,"NAGLU"
"hsa00541","Biosynthesis of various nucleotide sugars",1,"GMDS"
"hsa00515","Mannose type O-glycan biosynthesis",1,"B3GAT2"
"hsa00900","Terpenoid backbone biosynthesis",1,"HMGCS1"
"hsa04964","Proximal tubule bicarbonate reclamation",1,"CA2"
"hsa00790","Folate biosynthesis",1,"SPR"
"hsa04966","Collecting duct acid secretion",1,"CA2"
"hsa00630","Glyoxylate and dicarboxylate metabolism",1,"ACSS1"
"hsa04136","Autophagy - other",1,"PIK3C3"
"hsa00051","Fructose and mannose metabolism",1,"GMDS"
"hsa04216","Ferroptosis",1,"ACSL5"
"hsa00620","Pyruvate metabolism",1,"ACSS1"
"hsa05110","Vibrio cholerae infection",1,"ATP6V1H"
"hsa04913","Ovarian steroidogenesis",1,"ALOX5"
"hsa00310","Lysine degradation",1,"NSD1"
"hsa00590","Arachidonic acid metabolism",1,"ALOX5"
"hsa04664","Fc epsilon RI signaling pathway",1,"ALOX5"
"hsa04920","Adipocytokine signaling pathway",1,"ACSL5"
"hsa04917","Prolactin signaling pathway",1,"GALT"
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",1,"ATP6V1H"
"hsa04971","Gastric acid secretion",1,"CA2"
"hsa04721","Synaptic vesicle cycle",1,"ATP6V1H"
"hsa04976","Bile secretion",1,"CA2"
"hsa05323","Rheumatoid arthritis",1,"ATP6V1H"
"hsa04070","Phosphatidylinositol signaling system",1,"PIK3C3"
"hsa00564","Glycerophospholipid metabolism",1,"ETNK1"
"hsa04972","Pancreatic secretion",1,"CA2"
"hsa05145","Toxoplasmosis",1,"ALOX5"
"hsa04726","Serotonergic synapse",1,"ALOX5"
"hsa04152","AMPK signaling pathway",1,"MLYCD"
"hsa00190","Oxidative phosphorylation",1,"ATP6V1H"
"hsa04371","Apelin signaling pathway",1,"PIK3C3"
"hsa04936","Alcoholic liver disease",1,"MLYCD"
"hsa05017","Spinocerebellar ataxia",1,"PIK3C3"
"hsa04148","Efferocytosis",1,"ALOX5"
"hsa04150","mTOR signaling pathway",1,"ATP6V1H"
"hsa04140","Autophagy - animal",1,"PIK3C3"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",1,"PIK3C3"
"hsa05169","Epstein-Barr virus infection",1,"ENTPD1"
"hsa04714","Thermogenesis",1,"ACSL5"
"hsa05131","Shigellosis",1,"PIK3C3"
"hsa05132","Salmonella infection",1,"PIK3C3"
"hsa05016","Huntington disease",1,"PIK3C3"
"hsa05165","Human papillomavirus infection",1,"ATP6V1H"
"hsa05014","Amyotrophic lateral sclerosis",1,"PIK3C3"
"hsa05010","Alzheimer disease",1,"PIK3C3"
"hsa05022","Pathways of neurodegeneration - multiple diseases",1,"PIK3C3"
