"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00760","Nicotinate and nicotinamide metabolism",1,"SIRT1"
"hsa04213","Longevity regulating pathway - multiple species",1,"SIRT1"
"hsa05031","Amphetamine addiction",1,"SIRT1"
"hsa04211","Longevity regulating pathway",1,"SIRT1"
"hsa04922","Glucagon signaling pathway",1,"SIRT1"
"hsa04152","AMPK signaling pathway",1,"SIRT1"
"hsa04068","FoxO signaling pathway",1,"SIRT1"
"hsa04936","Alcoholic liver disease",1,"SIRT1"
"hsa04148","Efferocytosis",1,"SIRT1"
"hsa04218","Cellular senescence",1,"SIRT1"
"hsa04310","Wnt signaling pathway",1,"SIRT1"
"hsa05206","MicroRNAs in cancer",1,"SIRT1"
