"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00515","Mannose type O-glycan biosynthesis",2,"POMK/B4GALT2"
"hsa00514","Other types of O-glycan biosynthesis",2,"COLGALT2/B4GALT2"
"hsa00230","Purine metabolism",2,"RRM2/PDE4C"
"hsa00190","Oxidative phosphorylation",2,"NDUFA4L2/ATP6V1C2"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",1,"B4GALT2"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",1,"B4GALT2"
"hsa04966","Collecting duct acid secretion",1,"ATP6V1C2"
"hsa00052","Galactose metabolism",1,"B4GALT2"
"hsa00630","Glyoxylate and dicarboxylate metabolism",1,"HAO1"
"hsa04960","Aldosterone-regulated sodium reabsorption",1,"HSD11B2"
"hsa00260","Glycine, serine and threonine metabolism",1,"GAMT"
"hsa00513","Various types of N-glycan biosynthesis",1,"B4GALT2"
"hsa00330","Arginine and proline metabolism",1,"GAMT"
"hsa04979","Cholesterol metabolism",1,"LIPC"
"hsa05110","Vibrio cholerae infection",1,"ATP6V1C2"
"hsa00270","Cysteine and methionine metabolism",1,"DNMT3B"
"hsa00510","N-Glycan biosynthesis",1,"B4GALT2"
"hsa00240","Pyrimidine metabolism",1,"RRM2"
"hsa00480","Glutathione metabolism",1,"RRM2"
"hsa00140","Steroid hormone biosynthesis",1,"HSD11B2"
"hsa00310","Lysine degradation",1,"COLGALT2"
"hsa00561","Glycerolipid metabolism",1,"LIPC"
"hsa00830","Retinol metabolism",1,"RDH16"
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",1,"ATP6V1C2"
"hsa04115","p53 signaling pathway",1,"RRM2"
"hsa04721","Synaptic vesicle cycle",1,"ATP6V1C2"
"hsa00983","Drug metabolism - other enzymes",1,"RRM2"
"hsa04146","Peroxisome",1,"HAO1"
"hsa01232","Nucleotide metabolism",1,"RRM2"
"hsa05032","Morphine addiction",1,"PDE4C"
"hsa05323","Rheumatoid arthritis",1,"ATP6V1C2"
"hsa04928","Parathyroid hormone synthesis, secretion and action",1,"PDE4C"
"hsa01200","Carbon metabolism",1,"HAO1"
"hsa04723","Retrograde endocannabinoid signaling",1,"NDUFA4L2"
"hsa04932","Non-alcoholic fatty liver disease",1,"NDUFA4L2"
"hsa04150","mTOR signaling pathway",1,"ATP6V1C2"
"hsa04145","Phagosome",1,"ATP6V1C2"
"hsa05415","Diabetic cardiomyopathy",1,"NDUFA4L2"
"hsa04024","cAMP signaling pathway",1,"PDE4C"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",1,"NDUFA4L2"
"hsa04714","Thermogenesis",1,"NDUFA4L2"
"hsa05012","Parkinson disease",1,"NDUFA4L2"
"hsa05020","Prion disease",1,"NDUFA4L2"
"hsa05016","Huntington disease",1,"NDUFA4L2"
"hsa05206","MicroRNAs in cancer",1,"DNMT3B"
"hsa05165","Human papillomavirus infection",1,"ATP6V1C2"
"hsa05014","Amyotrophic lateral sclerosis",1,"NDUFA4L2"
"hsa05010","Alzheimer disease",1,"NDUFA4L2"
"hsa05022","Pathways of neurodegeneration - multiple diseases",1,"NDUFA4L2"
