"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00900","Terpenoid backbone biosynthesis",1,"FNTB"
"hsa00260","Glycine, serine and threonine metabolism",1,"GAMT"
"hsa00330","Arginine and proline metabolism",1,"GAMT"
"hsa00600","Sphingolipid metabolism",1,"GM2A"
"hsa04260","Cardiac muscle contraction",1,"CYC1"
"hsa04142","Lysosome",1,"GM2A"
"hsa00190","Oxidative phosphorylation",1,"CYC1"
"hsa04932","Non-alcoholic fatty liver disease",1,"CYC1"
"hsa05415","Diabetic cardiomyopathy",1,"CYC1"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",1,"CYC1"
"hsa04714","Thermogenesis",1,"CYC1"
"hsa05012","Parkinson disease",1,"CYC1"
"hsa05020","Prion disease",1,"CYC1"
"hsa05016","Huntington disease",1,"CYC1"
"hsa05014","Amyotrophic lateral sclerosis",1,"CYC1"
"hsa05010","Alzheimer disease",1,"CYC1"
"hsa05022","Pathways of neurodegeneration - multiple diseases",1,"CYC1"
