"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa01200","Carbon metabolism",3,"TKT/PGD/SDHB"
"hsa00030","Pentose phosphate pathway",2,"TKT/PGD"
"hsa00020","Citrate cycle (TCA cycle)",1,"SDHB"
"hsa00330","Arginine and proline metabolism",1,"P4HA1"
"hsa00600","Sphingolipid metabolism",1,"PSAP"
"hsa00240","Pyrimidine metabolism",1,"UCK2"
"hsa00480","Glutathione metabolism",1,"PGD"
"hsa01230","Biosynthesis of amino acids",1,"TKT"
"hsa00983","Drug metabolism - other enzymes",1,"UCK2"
"hsa01232","Nucleotide metabolism",1,"UCK2"
"hsa04142","Lysosome",1,"PSAP"
"hsa00190","Oxidative phosphorylation",1,"SDHB"
"hsa04932","Non-alcoholic fatty liver disease",1,"SDHB"
"hsa05415","Diabetic cardiomyopathy",1,"SDHB"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",1,"SDHB"
"hsa04714","Thermogenesis",1,"SDHB"
"hsa05012","Parkinson disease",1,"SDHB"
"hsa05020","Prion disease",1,"SDHB"
"hsa05016","Huntington disease",1,"SDHB"
"hsa05014","Amyotrophic lateral sclerosis",1,"SDHB"
"hsa05010","Alzheimer disease",1,"SDHB"
"hsa05022","Pathways of neurodegeneration - multiple diseases",1,"SDHB"
