"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00380","Tryptophan metabolism",2,"AFMID/GCDH"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",1,"CHST6"
"hsa00120","Primary bile acid biosynthesis",1,"AKR1D1"
"hsa00910","Nitrogen metabolism",1,"GLUD1"
"hsa00220","Arginine biosynthesis",1,"GLUD1"
"hsa04964","Proximal tubule bicarbonate reclamation",1,"GLUD1"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",1,"B3GNT4"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,"PIGX"
"hsa00630","Glyoxylate and dicarboxylate metabolism",1,"AFMID"
"hsa00250","Alanine, aspartate and glutamate metabolism",1,"GLUD1"
"hsa00071","Fatty acid degradation",1,"GCDH"
"hsa00513","Various types of N-glycan biosynthesis",1,"MGAT4C"
"hsa00510","N-Glycan biosynthesis",1,"MGAT4C"
"hsa00140","Steroid hormone biosynthesis",1,"AKR1D1"
"hsa00310","Lysine degradation",1,"GCDH"
"hsa00561","Glycerolipid metabolism",1,"AGPAT5"
"hsa01232","Nucleotide metabolism",1,"GDA"
"hsa00564","Glycerophospholipid metabolism",1,"AGPAT5"
"hsa01200","Carbon metabolism",1,"GLUD1"
"hsa00230","Purine metabolism",1,"GDA"
"hsa04072","Phospholipase D signaling pathway",1,"AGPAT5"
"hsa01240","Biosynthesis of cofactors",1,"AFMID"
"hsa04217","Necroptosis",1,"GLUD1"
