"PathwayID","PathwayName","GeneCountFromInput","NumberOfContributingCellTypes","InputGeneSymbolsInPathway","ContributingCellTypes"
"hsa00230","Purine metabolism",12,3,"AK6/NUDT16/PRPS1/NME4/GMPS/ADSL/PRPS2/NME1/PDE3B/ENTPD1/ENPP4/AK4","IgG/MoMac-II/T_activated"
"hsa00010","Glycolysis / Gluconeogenesis",9,5,"PGAM1/GALM/HK2/GAPDH/PKM/ADPGK/TPI1/PFKL/PDHB","CD16 mono/DC3/IgG/MoMac-II/T_activated"
"hsa00310","Lysine degradation",6,5,"KMT2E/NSD1/KMT5A/GCDH/SMYD2/EHMT1","DC3/IgA/IgG/MoMac-II/Treg"
"hsa00051","Fructose and mannose metabolism",6,4,"HK2/GMDS/TKFC/FPGT/TPI1/PFKL","CD16 mono/IgG/MoMac-II/T_activated"
"hsa00510","N-Glycan biosynthesis",6,3,"B4GALT3/ALG3/MAN1A2/ALG13/ALG5/STT3B","CD14 mono/IgG/T_activated"
"hsa00564","Glycerophospholipid metabolism",5,6,"AGPAT5/PLD3/LYPLA2/ETNK1/DGKZ","AM/DC3/IgG/MoMac-II/T_activated/Treg"
"hsa00052","Galactose metabolism",5,3,"GALM/HK2/GALT/GALE/PFKL","CD16 mono/MoMac-II/T_activated"
"hsa00983","Drug metabolism - other enzymes",5,3,"NME4/GMPS/DUT/GUSB/NME1","IgG/MoMac-II/T_activated"
"hsa00190","Oxidative phosphorylation",5,3,"UQCRFS1/UQCR10/NDUFS2/NDUFB6/ATP6V1D","IgG/IgM/T_activated"
"hsa00030","Pentose phosphate pathway",5,2,"RPIA/PRPS1/TALDO1/PRPS2/PFKL","IgG/T_activated"
"hsa00513","Various types of N-glycan biosynthesis",5,2,"B4GALT3/ALG3/MAN1A2/ALG13/STT3B","IgG/T_activated"
"hsa00280","Valine, leucine and isoleucine degradation",5,2,"ACAA1/ALDH6A1/ACSF3/HMGCS1/ACADS","MoMac-II/T_activated"
"hsa00562","Inositol phosphate metabolism",5,2,"INPP5D/ALDH6A1/SACM1L/PIK3C3/TPI1","IgG/MoMac-II"
"hsa00020","Citrate cycle (TCA cycle)",4,4,"ACLY/ACO2/CS/PDHB","AM/CD16 mono/IgG/T_activated"
"hsa00071","Fatty acid degradation",4,3,"ACAA1/ACSL5/GCDH/ACADS","MoMac-II/T_activated/Treg"
"hsa00240","Pyrimidine metabolism",4,3,"NME4/DUT/NME1/ENTPD1","IgG/MoMac-II/T_activated"
"hsa00410","beta-Alanine metabolism",4,2,"ALDH6A1/MLYCD/CNDP2/ACADS","MoMac-II/T_activated"
"hsa00520","Amino sugar and nucleotide sugar metabolism",4,2,"HK2/GALT/GALE/FPGT","CD16 mono/MoMac-II"
"hsa00061","Fatty acid biosynthesis",3,4,"ACSF3/CBR4/ACSL5","DC3/IgG/MoMac-II/T_activated"
"hsa00561","Glycerolipid metabolism",3,4,"AGPAT5/TKFC/DGKZ","AM/IgG/T_activated/Treg"
"hsa00630","Glyoxylate and dicarboxylate metabolism",3,3,"ACO2/CS/AFMID","AM/CD16 mono/Treg"
"hsa00730","Thiamine metabolism",3,2,"ACP1/TPK1/AK4","IgG/MoMac-II"
"hsa00640","Propanoate metabolism",3,2,"ALDH6A1/MLYCD/ACADS","MoMac-II/T_activated"
"hsa00910","Nitrogen metabolism",2,2,"GLUD1/CA2","MoMac-II/Treg"
"hsa00531","Glycosaminoglycan degradation",2,2,"GUSB/NAGLU","MoMac-II/T_activated"
"hsa00541","Biosynthesis of various nucleotide sugars",2,2,"CYB5R4/GMDS","MoMac-II/T_activated"
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",2,2,"CHST12/CHPF","DC3/T_activated"
"hsa00515","Mannose type O-glycan biosynthesis",2,2,"B4GALT3/B3GAT2","IgG/MoMac-II"
"hsa00900","Terpenoid backbone biosynthesis",2,2,"HMGCS1/FNTA","CD14 mono/MoMac-II"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",2,2,"B4GALT3/ST3GAL6","CD16 mono/IgG"
"hsa00512","Mucin type O-glycan biosynthesis",2,2,"GALNT2/ST6GALNAC4","IgG/T_activated"
