"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00600","Sphingolipid metabolism",2,"SPHK2/HEXB"
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",1,"HEXB"
"hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"HEXB"
"hsa00511","Other glycan degradation",1,"HEXB"
"hsa00531","Glycosaminoglycan degradation",1,"HEXB"
"hsa00520","Amino sugar and nucleotide sugar metabolism",1,"HEXB"
"hsa00513","Various types of N-glycan biosynthesis",1,"HEXB"
"hsa04370","VEGF signaling pathway",1,"SPHK2"
"hsa04666","Fc gamma R-mediated phagocytosis",1,"SPHK2"
"hsa04071","Sphingolipid signaling pathway",1,"SPHK2"
"hsa04142","Lysosome",1,"HEXB"
"hsa04371","Apelin signaling pathway",1,"SPHK2"
"hsa04072","Phospholipase D signaling pathway",1,"SPHK2"
"hsa04148","Efferocytosis",1,"SPHK2"
"hsa05152","Tuberculosis",1,"SPHK2"
"hsa04020","Calcium signaling pathway",1,"SPHK2"
