"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00760","Nicotinate and nicotinamide metabolism",2,"NT5E/NUDT13"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",1,"B4GALT2"
"hsa00340","Histidine metabolism",1,"CNDP2"
"hsa00515","Mannose type O-glycan biosynthesis",1,"B4GALT2"
"hsa04964","Proximal tubule bicarbonate reclamation",1,"PCK2"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",1,"B4GALT2"
"hsa00020","Citrate cycle (TCA cycle)",1,"PCK2"
"hsa00410","beta-Alanine metabolism",1,"CNDP2"
"hsa00052","Galactose metabolism",1,"B4GALT2"
"hsa00513","Various types of N-glycan biosynthesis",1,"B4GALT2"
"hsa00514","Other types of O-glycan biosynthesis",1,"B4GALT2"
"hsa00620","Pyruvate metabolism",1,"PCK2"
"hsa00330","Arginine and proline metabolism",1,"CNDP2"
"hsa00510","N-Glycan biosynthesis",1,"B4GALT2"
"hsa00240","Pyrimidine metabolism",1,"NT5E"
"hsa00010","Glycolysis / Gluconeogenesis",1,"PCK2"
"hsa04920","Adipocytokine signaling pathway",1,"PCK2"
"hsa03320","PPAR signaling pathway",1,"PCK2"
"hsa04146","Peroxisome",1,"NUDT13"
"hsa01232","Nucleotide metabolism",1,"NT5E"
"hsa04922","Glucagon signaling pathway",1,"PCK2"
"hsa04931","Insulin resistance",1,"PCK2"
"hsa04152","AMPK signaling pathway",1,"PCK2"
"hsa00230","Purine metabolism",1,"NT5E"
"hsa04068","FoxO signaling pathway",1,"PCK2"
"hsa04910","Insulin signaling pathway",1,"PCK2"
"hsa04151","PI3K-Akt signaling pathway",1,"PCK2"
