"PathwayID","PathwayName","GeneCountFromInput","NumberOfContributingCellTypes","InputGeneSymbolsInPathway","ContributingCellTypes"
"hsa01200","Carbon metabolism",24,9,"RPIA/TKT/PGD/PGAM1/PRPS1/ADPGK/ACO2/HK2/GAPDH/PKM/ACSS1/GLUD1/ALDH6A1/CS/TALDO1/TKFC/PRPS2/SDHB/IDH3B/IDH3G/ACADS/PFKL/PDHB/SDHD","AM/CD14 mono/CD16 mono/DC3/IgG/MoMac-II/T_activated/T_GZMK/Treg"
"hsa00230","Purine metabolism",17,6,"AK6/NUDT16/NME1/ATIC/PRPS1/PDE3B/GMPS/NME4/ADSL/PRPS2/GDA/NUDT5/ENTPD1/ENPP4/AK4/PPAT/DCK","CD14 mono/DC3/IgG/MoMac-II/T_activated/Treg"
"hsa00190","Oxidative phosphorylation",17,6,"UQCRC2/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/NDUFB5/ATP6V1H/SDHB/COX5A/NDUFB6/ATP6V1D/ATP6V1F/SDHD/ATP6V0D1/NDUFB9/NDUFV3","CD14 mono/IgG/IgM/MoMac-II/T_activated/T_GZMK"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",16,6,"ACP1/UQCRC2/AKR1C3/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/NDUFB5/SDHB/COX5A/NDUFB6/SDHD/NDUFB9/MGST1/NDUFV3","CD14 mono/IgG/IgM/T_activated/T_GZMK/Tcm-naive_I"
"hsa04714","Thermogenesis",15,7,"UQCRC2/NDUFA9/NDUFA10/PNPLA2/UQCR10/UQCRFS1/NDUFS2/NDUFB5/SDHB/COX5A/ACSL5/NDUFB6/SDHD/NDUFB9/NDUFV3","CD14 mono/IgG/IgM/MoMac-II/T_activated/T_GZMK/Tcycle"
"hsa05010","Alzheimer disease",15,7,"UQCRC2/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/GAPDH/NDUFB5/SDHB/PIK3C3/COX5A/NDUFB6/SDHD/NDUFB9/NDUFV3","CD14 mono/DC3/IgG/IgM/MoMac-II/T_activated/T_GZMK"
"hsa05415","Diabetic cardiomyopathy",15,6,"UQCRC2/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/GAPDH/NDUFB5/SDHB/COX5A/NDUFB6/PDHB/SDHD/NDUFB9/NDUFV3","CD14 mono/DC3/IgG/IgM/T_activated/T_GZMK"
"hsa01230","Biosynthesis of amino acids",14,7,"RPIA/TKT/BCAT1/PGAM1/PRPS1/ACO2/GAPDH/PKM/CS/TALDO1/PRPS2/IDH3B/IDH3G/PFKL","AM/CD14 mono/CD16 mono/DC3/IgG/T_activated/T_GZMK"
"hsa05016","Huntington disease",14,6,"UQCRC2/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/NDUFB5/SDHB/PIK3C3/COX5A/NDUFB6/SDHD/NDUFB9/NDUFV3","CD14 mono/IgG/IgM/MoMac-II/T_activated/T_GZMK"
"hsa05014","Amyotrophic lateral sclerosis",14,6,"UQCRC2/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/NDUFB5/SDHB/PIK3C3/COX5A/NDUFB6/SDHD/NDUFB9/NDUFV3","CD14 mono/IgG/IgM/MoMac-II/T_activated/T_GZMK"
"hsa05022","Pathways of neurodegeneration - multiple diseases",14,6,"UQCRC2/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/NDUFB5/SDHB/PIK3C3/COX5A/NDUFB6/SDHD/NDUFB9/NDUFV3","CD14 mono/IgG/IgM/MoMac-II/T_activated/T_GZMK"
"hsa01232","Nucleotide metabolism",13,7,"AK6/NUDT16/DUT/NME1/GMPS/NME4/ADSL/GDA/ENTPD1/AK4/UCK2/DCK/CDA","CD14 mono/DC3/IgG/MoMac-II/T_activated/T_GZMK/Treg"
