gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FTH1,1851.809685411964,-0.44696850547178174,0.10641004258054818,-4.200435359599113,2.664022206633774e-5,0.014225878583424353
GALC,0.9231617743156664,-1.0954060746489906,0.29550292242893805,-3.7069212908119775,2.0979410934857912e-4,0.05601502719607063
CHIT1,5.8300143456826135,3.049865555061154,0.9349381229828246,3.262104175761781,0.0011058849488252613,0.09241475591196947
HNMT,5.031426239646393,0.6262052792990189,0.19350165249142387,3.236175356832019,0.0012114293846138319,0.09241475591196947
SGMS2,1.111081059841911,-1.402375064156278,0.4155322063382683,-3.3748889803613924,7.38454745409805e-4,0.09241475591196947
IPMK,0.8401396780232866,-1.1512508850818177,0.3419118114345174,-3.367098902642924,7.596343970139575e-4,0.09241475591196947
LACC1,0.8335628439217216,-1.2396393921555813,0.3816840999769959,-3.2478151231091217,0.0011629480723857897,0.09241475591196947
HADHB,2.3368819313362605,-0.6594363206441453,0.21543693378854473,-3.0609251118074026,0.0022065427599647137,0.09947494169841653
MAGT1,1.7491446139016429,-0.7450543735836959,0.2405961185431378,-3.0967015515261145,0.0019568678130868996,0.09947494169841653
UGCG,2.4322316126938994,-0.8251572572922523,0.2684861836466828,-3.073369534642895,0.0021165621338624123,0.09947494169841653
SGMS1,0.57214878515537,-1.3837071885092043,0.4389181559803127,-3.1525403304830917,0.0016185646111776242,0.09947494169841653
ANPEP,2.8573013059695622,-0.9278403849979822,0.3035100353301496,-3.0570336298393026,0.002235391948279023,0.09947494169841653
GALM,1.145856829238185,1.0700441354807801,0.3648081890533472,2.9331691765403427,0.0033552101220609616,0.11944548034537024
APIP,1.7884548670542455,-0.8087084927702965,0.2753810424389029,-2.936689053131607,0.0033173654830554937,0.11944548034537024
DOT1L,0.859333387162919,-0.9584499108489466,0.3226219828613402,-2.9708140231128612,0.002970115829100382,0.11944548034537024
B3GNT5,3.7745217872036507,-0.797537462707554,0.2790863244767062,-2.8576730307475886,0.004267598882327239,0.1424311126976716
GPX3,1.5284241891894785,-0.9921458656350312,0.3542926701356047,-2.800356736861899,0.005104616013843616,0.16034499714073475
OGT,0.880200265200247,-0.8949094396603671,0.32912495419243587,-2.7190567845461,0.006546836785907547,0.19422282464859056
OAT,1.7137797624699624,-0.7043470246792198,0.2621236061025059,-2.6870797146128775,0.007207974852032181,0.20258203005185182
DSE,2.9476209612339135,-0.5594353533925006,0.21464712540434625,-2.606302564446889,0.00915255728019279,0.2173899944870207
PNP,1.1328807477395089,-0.82535196837325,0.3135756178458899,-2.6320667851761295,0.008486717846420546,0.2173899944870207
KDSR,1.3857419955003982,-0.7603194829679669,0.29005535719719394,-2.621290950510058,0.008759746740289264,0.2173899944870207
DNMT1,1.2595592236388027,0.9986661389328838,0.3843242761544309,2.598498718128322,0.009363239462924113,0.2173899944870207
ALG3,1.297441424635776,-0.7763278401366925,0.32205171073196504,-2.410568906379166,0.015927662287997555,0.26979457383881555
ENOPH1,0.8840745273644973,-0.7401169239769438,0.3010386193398981,-2.4585447727598337,0.013950138076768141,0.26979457383881555
COX7C,26.641652051002318,0.2933228437339317,0.11766530363699233,2.492857577105806,0.01267196640944851,0.26979457383881555
SAMD8,0.634158332023729,-0.8319425449299007,0.34590580150286804,-2.405113014338971,0.01616746509895524,0.26979457383881555
PCK2,0.7027474392313956,-0.9211079219735258,0.38112223010015495,-2.4168307414958927,0.015656295414371923,0.26979457383881555
SPHK1,1.4403843673247905,-0.8340119441381219,0.33892566763601106,-2.460751792436707,0.013864624670928976,0.26979457383881555
DPM1,1.8062754469574316,-0.631774164269831,0.2598194997270642,-2.431588718065806,0.01503276627704344,0.26979457383881555
MTMR3,0.5545900282816207,-0.9344351193862557,0.3845200607284782,-2.4301335998334035,0.015093258120018932,0.26979457383881555
CERK,0.49353373272670437,-1.004281138664114,0.41250176934614335,-2.4346104993828273,0.01490782729895674,0.26979457383881555
ATP6V1H,2.16436443504036,-0.5915263145679038,0.24725683122061362,-2.3923558012442436,0.016740604876998917,0.27089342437325525
ACSL4,2.1990651851083918,-0.5887936208107833,0.24736804781507538,-2.380233122310716,0.017301688543401465,0.2717382847698936
HS3ST3B1,0.524709089979466,-1.1051195581838849,0.46675786213919995,-2.3676506553505208,0.01790143008183746,0.2731246761057487
DDOST,1.7939831496983907,-0.618296056795657,0.2673559018776509,-2.3126329078705194,0.02074283063797272,0.28192701236122564
INPP4A,0.47391759410778966,-0.8855336344658572,0.3840351888087415,-2.305865869252085,0.021118128266758476,0.28192701236122564
SHMT2,0.7004918227321181,-0.8466877008573845,0.3618724534824117,-2.3397406813075827,0.019297133394971203,0.28192701236122564
ALDH2,5.268973138847381,-0.5701403690559211,0.24608640536484352,-2.316830010217918,0.020512993576109945,0.28192701236122564
PIGT,1.1468864503735856,-0.6946261591376094,0.2976931322146811,-2.3333630640718996,0.01962909811911287,0.28192701236122564
CYB5R3,1.9294540682770605,-0.5659989350530317,0.24754168391858922,-2.286479295499887,0.022226234030773468,0.28948314566909833
ST3GAL1,1.764242297958919,-0.6045337293685402,0.2668171584888384,-2.265722837288327,0.023468358378326188,0.2983834136672901
GPX1,76.39038358205079,0.2765473997136616,0.12280452902074196,2.2519316015368793,0.02432659473244416,0.30178613610333693
ACADS,0.7633871363575256,-0.8198042629727531,0.36541734494320516,-2.2434738643842174,0.024866273386791805,0.30178613610333693
KMO,1.9866453704477827,-0.7013206205412469,0.3146065386413565,-2.2291991246270144,0.025800658765025918,0.3021956791086169
HSD17B12,1.8135047387403127,-0.5883853755295088,0.2643553628302953,-2.2257364830053654,0.026031837526210445,0.3021956791086169
GCH1,0.799849777634842,-0.8652697270770519,0.3907970122146262,-2.214115512740524,0.026820833768835338,0.30473032409698025
PGM1,0.5855126417666869,-0.806054880810685,0.36772629852254046,-2.191996830385185,0.028379735500815646,0.31572455744657407
ODC1,1.3921033444196467,-0.6475330108117591,0.29845518760876555,-2.1696155325689546,0.03003598370606616,0.3273309244701904
ACYP2,0.6926637555774724,-0.7747972406841956,0.36988054219414646,-2.094722896446693,0.03619563264175052,0.3431198417648676
ATP6V1A,3.842830575342472,-0.43365783029425414,0.20923651174623029,-2.0725724524609275,0.03821208696415064,0.3431198417648676
TPMT,1.5744045789413406,-0.5503967183480778,0.2598244928585489,-2.1183403931349893,0.03414625005336449,0.3431198417648676
IDS,2.9287481626813716,-0.5085272425231313,0.24079908764580782,-2.111832098264117,0.03470085310791953,0.3431198417648676
GPAA1,1.1690843949053764,-0.7166785063052026,0.34050557704186424,-2.1047482174340097,0.03531323085857041,0.3431198417648676
B4GALT1,4.638410464282379,-0.5101056382293184,0.2471528658312797,-2.0639276688684842,0.039024574896670855,0.3431198417648676
FPGS,0.9053288192956532,-0.6766089067688629,0.32573820767198225,-2.0771554912287318,0.037787210339198234,0.3431198417648676
PAPSS2,1.6963241966705394,-0.6113718297012959,0.2894839154691316,-2.111937130291054,0.03469184211147186,0.3431198417648676
SCD,3.475492972287356,-0.6417751524853246,0.3089751670171569,-2.0771091692611265,0.037791484490684174,0.3431198417648676
ATP6V1D,2.2968462418418243,-0.47230203788764036,0.22841599710011554,-2.067727496689423,0.038665654780272875,0.3431198417648676
COX5A,8.394452686161937,0.3654650462646949,0.17722694649927495,2.062130243078978,0.039195337729694614,0.3431198417648676
ACADVL,4.32621592768829,-0.5602332432266229,0.2658369352932081,-2.1074319210334966,0.03508015708036274,0.3431198417648676
DHRS3,1.931780806639981,0.6654959495799867,0.3252815505149143,2.045907456252959,0.040765476612878056,0.34553594462344256
CYC1,2.976219493189978,0.4834012301924565,0.23554616992037908,2.0522568053467354,0.040144711473598285,0.34553594462344256
UXS1,0.7728170042315086,-0.6863057526042503,0.33926699945271455,-2.0229074849937017,0.04308268670805265,0.3594711672203143
AK2,2.0151020924825973,-0.4782077094645344,0.23725641999507352,-2.0155733171497068,0.043844612282694366,0.3602003532147506
FADS1,0.6783168156428756,-0.8918741961641011,0.44413548550674886,-2.0081128963304793,0.04463129614923964,0.36110775975293896
H6PD,0.6081984840842922,-0.777736394437696,0.4074200009272207,-1.9089303241561444,0.05627108054709241,0.36194876465439474
ZMPSTE24,0.8569231396973843,-0.653227534135331,0.3476189309450519,-1.8791483316499427,0.06022424231808862,0.36194876465439474
ADCY3,0.8572165657145296,-0.6462185646117163,0.33063987881567863,-1.9544483470245975,0.050648217811949614,0.36194876465439474
NIT2,0.9700098106962851,-0.6659898342009144,0.33862920246076283,-1.9667229800657344,0.04921515610851013,0.36194876465439474
MGLL,2.661731500207598,-0.6396656821486267,0.34125084652326043,-1.8744735395257859,0.06086518579631105,0.36194876465439474
QDPR,0.8497859342733034,-0.6467159654500662,0.3451956457420607,-1.8734766021159763,0.061002600784448545,0.36194876465439474
PLA2G7,8.547095419621726,-0.5208526284747605,0.2759767331595726,-1.887306304816639,0.05911913892990349,0.36194876465439474
NUS1,2.2824245780444454,-0.5042713561753538,0.26766205740936344,-1.8839852052848833,0.05956697670444359,0.36194876465439474
AKR1B1,3.2154245026571346,0.5787150485128301,0.29285714472221697,1.976100153068682,0.04814343510344594,0.36194876465439474
ALG13,1.2464568477293028,-0.5326910698054541,0.2800212688513774,-1.9023236055979105,0.057128861478390996,0.36194876465439474
FBP1,16.687777500886877,0.5474837994629302,0.28373939021182387,1.929530471797411,0.053665040940708515,0.36194876465439474
PTGS1,1.0748646177506074,-0.6481268453982804,0.3349992165228958,-1.9347115259715348,0.05302570518854219,0.36194876465439474
SMPD1,0.4638785919781491,-0.7973458142245468,0.4003592427266903,-1.9915758876806142,0.046417611160840436,0.36194876465439474
CHKA,0.6975895857340947,-0.7197223952368262,0.3669136241540388,-1.9615581102942916,0.04981395329310994,0.36194876465439474
