gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PTGDS,8.404122313377309,2.229327516991466,0.6984798501846105,3.1916847943462474,0.0014144559819648998,0.03673918597328902
LPL,4.038177731586368,1.6314666478150217,0.49728945046973205,3.2807183950392735,0.0010354306781239202,0.03529092894605695
GATM,2.9866943299114355,1.005747761417692,0.2721460268419993,3.6956180220172836,2.1935255335670166e-4,0.014360120301027448
PTGS1,2.3292007921998787,0.9743668992166483,0.26109914473375767,3.731788934851581,1.901247734930944e-4,0.014360120301027448
ENPP2,6.089799099962766,0.9417946426540007,0.2713571558363048,3.4706829077399926,5.19136645106145e-4,0.01939081357109605
CES1,3.2805319702563933,-0.9194103200634788,0.2955613598517996,-3.110725706920856,0.0018662820778153114,0.04240607610147013
P4HA1,3.307183506073596,0.8586592202895004,0.2341824102585729,3.666625598999559,2.457722300909343e-4,0.014360120301027448
MGLL,3.2331099385956557,-0.7588095108295435,0.2404785503043881,-3.1554145260318345,0.0016027021874743725,0.038559129098648136
MIF,11.870054976431648,0.6935196101917841,0.2145561311680783,3.2323458034787964,0.001227783787250346,0.03586882635609939
GAPDH,113.22346067931865,0.5940961056242141,0.08710860753446903,6.820176816500358,9.09285251418509e-12,3.7189766783017023e-9
LDHA,23.763695540252435,0.5898063356151116,0.11934118052673906,4.942186201040321,7.725138190930399e-7,1.0531938400301778e-4
ACAA2,4.518556085544581,-0.5554944072847636,0.16010994063737857,-3.4694560816986546,5.215133234280111e-4,0.01939081357109605
ADPGK,9.224165628727238,0.5364753205911408,0.1507772504421122,3.558065417813872,3.735962801507438e-4,0.01697787539796158
UGP2,9.014003642097492,0.46171943124631515,0.14280717298280557,3.233166945345999,0.0012242599591848467,0.03586882635609939
ACADVL,8.159268530127843,-0.44572734155332455,0.1235157908769158,-3.6086668626645024,3.077745282668187e-4,0.015734972757641106
TALDO1,21.42974307813091,-0.39234263028597577,0.0973379919822564,-4.030724512557186,5.560518642335341e-5,0.005685630311787886
FTH1,1574.4812361550075,-0.3852891019141004,0.07761639494017265,-4.96401697361858,6.904990487576029e-7,1.0531938400301778e-4
NDUFV2,15.69752431315057,0.35232408285992306,0.1105480278608562,3.1870680072500597,0.0014372297691262208,0.03673918597328902
