category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,43/159,82/1700,0.524390243902439,5.606688142353122,13.730944531005346,4.313942890210093e-25,6.686611479825644e-23,5.994110121134024e-23,7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/54205/4708/4728/374291/9167/4700/4713/5293/4707/4709/4711/51079/4715/4718/7385/55967,43
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,43/159,101/1700,0.42574257425742573,4.5519646304253065,11.819497681258882,1.859778748640264e-20,1.4413285301962045e-18,1.292056814844815e-18,7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/54205/4708/4728/374291/9167/4700/4713/5293/4707/4709/4711/51079/4715/4718/7385/55967,43
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,49/159,138/1700,0.35507246376811596,3.79637225412451,11.004946739172654,2.747517386655272e-19,1.1339899022199809e-17,1.0165478240613751e-17,7381/1327/1350/1345/1340/29796/8992/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/9296/4729/1329/9550/4696/27089/1351/4716/528/9377/4726/4710/4695/54205/4708/4728/23545/374291/9167/4700/4713/4707/4709/4711/10063/51079/5464/4715/4718/7385/55967,49
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,44/159,112/1700,0.39285714285714285,4.200359389038635,11.253210566263162,2.9264255541160796e-19,1.1339899022199809e-17,1.0165478240613751e-17,2597/7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/54205/4708/4728/374291/9167/4700/4713/5293/4707/4709/4711/51079/4715/4718/7385/55967,44
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,42/159,103/1700,0.4077669902912621,4.359772852170727,11.297178818440429,4.278682775090567e-19,1.3263916602780758e-17,1.189023423814642e-17,7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/54205/4708/4728/374291/9167/4700/4713/4707/4709/4711/51079/4715/4718/7385/55967,42
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,43/159,110/1700,0.39090909090909093,4.179531160663236,11.07273224733525,1.0428513512713955e-18,2.3091708492438042e-17,2.0700207273357022e-17,7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/54205/4708/2876/4728/374291/9167/4700/4713/4707/4709/4711/51079/4715/4718/7385/55967,43
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,43/159,110/1700,0.39090909090909093,4.179531160663236,11.07273224733525,1.0428513512713955e-18,2.3091708492438042e-17,2.0700207273357022e-17,7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/54205/4708/2876/4728/374291/9167/4700/4713/4707/4709/4711/51079/4715/4718/7385/55967,43
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,44/159,118/1700,0.3728813559322034,3.9867817929858225,10.8002843953854,3.3542253718900145e-18,6.498811658036903e-17,5.825759856440552e-17,2597/7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/4708/4728/374291/9167/4700/4713/5293/4707/4709/4711/2539/51079/4715/4718/7385/55967,44
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,43/159,117/1700,0.36752136752136755,3.9294737407944957,10.544743380639112,1.7146970086245647e-17,2.9530892926311946e-16,2.647251522087048e-16,7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/54205/4708/2876/4728/374291/9167/4700/4713/4707/4709/4711/51079/4715/4718/7385/55967,43
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,44/159,130/1700,0.3384615384615385,3.618771165940978,9.977306932424806,2.6130102533330486e-16,4.050165892666225e-15,3.630708983578552e-15,7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/4708/4728/374291/9167/4700/4713/4707/51703/4709/4711/10063/2181/51079/4715/4718/7385/55967,44
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,44/159,140/1700,0.3142857142857143,3.360287511230907,9.361825877790626,6.3336957352541966e-15,8.924753081494551e-14,8.000457770847406e-14,7381/1327/1350/1345/1340/29796/1349/10975/7388/4697/1347/1337/54539/4725/4714/126328/4694/4729/1329/4696/27089/1351/4716/9377/4726/4710/4695/4708/9446/4728/374291/9167/4700/4713/5293/4707/4709/4711/51079/873/4715/4718/7385/55967,44
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,17/159,31/1700,0.5483870967741935,5.863258267397037,8.775541908203271,1.1847573308190205e-10,1.5303115523079015e-9,1.3718242777904448e-9,7381/1327/1350/1345/1340/29796/1349/10975/7388/1347/1337/1329/27089/1351/9377/9167/7385,17
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,24/159,63/1700,0.38095238095238093,4.073075771188979,7.982025958210502,2.5108133950242455e-10,2.9936621248366004e-9,2.6836224141149833e-9,4697/54539/4725/4714/126328/4694/4729/4696/4716/4726/4710/4695/4708/4728/374291/4700/4713/4707/4709/4711/51079/4715/4718/55967,24
Cellular Processes,Cell growth and death,hsa04216,Ferroptosis,7/159,18/1700,0.3888888888888889,4.1579315164220825,4.325336465384204,7.204339119263615e-4,0.007976232596327574,0.007150171155960882,2495/2512/2879/6303/10162/51703/2181,7
