"","338","370","371","377","378","393","403","406","408","410","458","460","464","514","522","532","558","564","569","570","571","572","578","581","584","593","596","626","630","695","706","714","725","729","800"
"HK3",31,23,423,134,281,116,38,133,35,138,6,3,6,67,171,26,37,162,91,104,266,84,97,409,180,151,407,1993,187,297,611,47,426,255,63
"HK1",177,213,815,182,522,688,216,445,390,563,71,117,75,318,808,81,244,503,358,298,411,574,533,685,790,209,705,1544,510,1661,2853,209,1849,521,789
"HK2",26,72,629,265,364,340,155,482,149,228,26,40,8,279,908,30,72,206,99,404,276,167,205,389,445,141,517,1412,562,713,1156,204,513,1102,175
"HKDC1",3,7,11,1,8,32,8,41,5,13,0,1,2,7,7,3,8,46,5,2,10,6,15,28,17,6,20,6,2,21,78,4,51,9,25
"GCK",4,1,0,1,0,1,0,0,3,2,0,1,0,0,3,1,0,0,0,1,0,1,2,3,1,1,4,2,6,4,24,1,0,0,3
"GPI",407,291,1267,381,876,1105,489,1426,948,850,71,88,58,448,1061,77,257,999,446,578,558,871,670,956,782,261,914,2681,877,2459,3234,348,1571,817,640
"PFKM",17,30,81,25,46,108,102,76,103,101,17,23,11,67,99,21,85,67,46,47,72,101,56,74,69,42,81,130,103,406,587,48,84,61,71
"PFKP",281,193,632,170,528,481,279,758,829,396,59,99,41,201,830,52,126,584,374,360,287,618,419,584,549,183,443,1063,436,1043,2228,220,1294,471,484
"PFKL",406,369,1600,411,1164,1406,426,955,932,895,119,123,77,551,1388,136,351,1044,604,570,839,1215,1049,1290,1101,403,1336,3299,1056,3062,4474,414,1472,891,686
"FBP1",406,395,10404,2654,8304,3353,972,5931,938,5344,143,65,219,892,1924,112,1375,3533,1616,1438,4850,2321,2384,7128,3377,5362,9679,75180,4628,6548,9132,639,14903,9347,812
"FBP2",0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,2,0
"ALDOC",120,80,204,81,171,229,149,350,597,218,29,24,17,123,353,25,58,485,180,172,130,233,161,286,265,38,146,215,172,540,933,129,177,222,113
"ALDOA",2761,3213,17242,4722,12375,9702,5373,13545,11298,10154,746,1098,621,5365,14056,1232,3555,14498,5520,7149,6424,9714,7676,11751,11423,3108,10632,31162,11496,29046,45820,4376,15283,13875,6189
"ALDOB",2,0,1,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,2,1,1,1,1,2,0,0,0,0,0,5,1,0,1,2,0
"TPI1",4060,2623,14123,3884,7619,8414,4598,8599,11564,5837,520,873,443,4854,15313,936,2530,14455,5167,5762,4806,8622,8168,11462,12521,2412,7875,19969,10269,22996,32839,4252,10088,13587,3637
"GAPDH",17052,12668,62103,15628,30234,42273,18062,44313,55355,30378,1991,3666,2141,22329,82506,2561,12874,67311,22406,31885,26302,45654,35951,49027,49895,9137,27905,81259,47059,113132,132086,19991,56748,39882,20604
"GAPDHS",0,0,0,2,1,2,0,0,1,0,0,0,1,1,0,0,1,2,0,0,2,2,0,1,2,0,1,0,2,3,1,1,1,0,0
"PGK2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
