category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,47/138,82/1700,0.573170731707317,7.060798868858253,16.716419349340587,3.5975340524244664e-33,5.612153121782168e-31,4.885072555397433e-31,1350/7381/1329/1327/29796/10975/9377/7388/4725/1349/1340/1347/1345/4710/1351/4697/27089/1337/4708/4694/4711/4695/54205/1537/374291/4713/4716/4728/4715/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/55967/4714/7384/4722/4700/4712/7385/7386,47
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,50/138,112/1700,0.44642857142857145,5.499482401656315,14.640032394435174,1.611274672701368e-28,8.525074081271057e-27,7.420611042401933e-27,2597/1350/7381/1329/1327/29796/10975/9377/7388/4725/1349/1340/1347/1345/4710/1351/4697/27089/5330/1337/4708/4694/4711/4695/54205/1537/374291/4713/4716/5743/4728/4715/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/55967/4714/7384/4722/4700/4712/7385/7386,50
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,55/138,138/1700,0.39855072463768115,4.909682839739551,14.237583181005453,1.6394373233213573e-28,8.525074081271057e-27,7.420611042401933e-27,1350/7381/1329/1327/29796/10975/9377/7388/4725/9296/1349/1340/1347/1345/4710/1351/8992/4697/27089/9550/533/1337/4708/4694/4711/4695/54205/1537/374291/1355/4713/10063/4716/4728/4715/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/526/55967/4714/529/7384/4722/4700/4712/7385/7386,55
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,49/138,110/1700,0.44545454545454544,5.487483530961792,14.460934733289532,7.606970897148095e-28,2.966718649887757e-26,2.5823664361371165e-26,2876/1350/7381/1329/1327/29796/10975/9377/7388/4725/1349/1340/1347/1345/4710/1351/4697/27089/5330/1337/4708/4694/4711/4695/54205/1537/374291/4713/4716/4728/4715/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/55967/4714/7384/4722/4700/4712/7385/7386,49
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,47/138,101/1700,0.46534653465346537,5.732529774716602,14.572213578915793,1.0838776011108811e-27,3.381698115465949e-26,2.943583379859024e-26,1350/7381/1329/1327/29796/10975/9377/7388/4725/1349/1340/1347/1345/4710/1351/4697/27089/1337/4708/4694/4711/4695/54205/1537/374291/4713/4716/4728/4715/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/55967/4714/7384/4722/4700/4712/7385/7386,47
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,50/138,117/1700,0.42735042735042733,5.264461786200917,14.204057390235073,2.11486856477355e-27,5.498658268411231e-26,4.7862814886980336e-26,2876/1350/7381/1329/1327/29796/10975/9377/7388/4725/1349/1340/1347/1345/4710/1351/4697/27089/5330/1337/4708/4694/4711/4695/54205/1537/374291/4713/4716/5743/4728/4715/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/55967/4714/7384/4722/4700/4712/7385/7386,50
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,47/138,103/1700,0.4563106796116505,5.621218516955115,14.378658760950145,3.297343779128253e-27,7.348366136342963e-26,6.396351090339016e-26,1350/7381/1329/1327/29796/10975/9377/7388/4725/1349/1340/1347/1345/4710/1351/4697/27089/1337/4708/4694/4711/4695/54205/1537/374291/4713/4716/4728/4715/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/55967/4714/7384/4722/4700/4712/7385/7386,47
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,48/138,110/1700,0.43636363636363634,5.375494071146244,14.100048223503974,1.0065118355665164e-26,1.9626980793547068e-25,1.7084214051063238e-25,2876/1350/7381/1329/1327/29796/10975/9377/7388/4725/1349/1340/1347/1345/4710/1351/4697/27089/1337/4708/4694/4711/4695/54205/1537/374291/4713/4716/4728/4715/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/55967/4714/7384/4722/4700/4712/7385/7386,48
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,48/138,118/1700,0.4067796610169492,5.0110537951363305,13.421219172993208,4.942626445999524e-25,8.567219173065841e-24,7.457296041332616e-24,2597/1350/7381/1329/1327/29796/10975/9377/7388/4725/1349/1340/1347/1345/4710/1351/4697/27089/5330/1337/4708/4694/4711/4695/1537/374291/4713/4716/4728/4715/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/55967/4714/7384/4722/4700/4712/7385/7386,48
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,51/138,140/1700,0.36428571428571427,4.487577639751552,12.80033456649816,5.062537861527134e-24,7.897559063982328e-23,6.874393517231581e-23,1350/7381/1329/1327/29796/10975/9377/7388/4725/1349/1340/1347/1345/9446/4710/1351/4697/27089/1337/4708/4694/4711/4695/3162/1537/374291/4259/4713/4716/4728/4715/10327/4724/4729/4709/6391/9167/126328/4726/54539/4707/4696/52/55967/4714/7384/4722/4700/4712/7385/7386,51
