"ENTREZID","SYMBOL"
"3101","HK3"
"3098","HK1"
"3099","HK2"
"80201","HKDC1"
"2645","GCK"
"2821","GPI"
"5213","PFKM"
"5214","PFKP"
"5211","PFKL"
"2203","FBP1"
"8789","FBP2"
"230","ALDOC"
"226","ALDOA"
"229","ALDOB"
"7167","TPI1"
"2597","GAPDH"
"26330","GAPDHS"
"5232","PGK2"
"5230","PGK1"
"5223","PGAM1"
"5224","PGAM2"
"441531","PGAM4"
"2027","ENO3"
"2026","ENO2"
"2023","ENO1"
"387712","ENO4"
"5315","PKM"
"5313","PKLR"
"5161","PDHA2"
"5160","PDHA1"
"5162","PDHB"
"1737","DLAT"
"1738","DLD"
"160287","LDHAL6A"
"92483","LDHAL6B"
"3939","LDHA"
"3945","LDHB"
"3948","LDHC"
"124","ADH1A"
"125","ADH1B"
"126","ADH1C"
"131","ADH7"
"127","ADH4"
"128","ADH5"
"130","ADH6"
"10327","AKR1A1"
"217","ALDH2"
"224","ALDH3A2"
"219","ALDH1B1"
"501","ALDH7A1"
"223","ALDH9A1"
"221","ALDH3B1"
"222","ALDH3B2"
"218","ALDH3A1"
"84532","ACSS1"
"55902","ACSS2"
"130589","GALM"
"5236","PGM1"
"55276","PGM2"
"2538","G6PC1"
"57818","G6PC2"
"92579","G6PC3"
"83440","ADPGK"
"669","BPGM"
"9562","MINPP1"
"5105","PCK1"
"5106","PCK2"
"1431","CS"
"47","ACLY"
"50","ACO2"
"48","ACO1"
"3417","IDH1"
"3418","IDH2"
"3420","IDH3B"
"3421","IDH3G"
"3419","IDH3A"
"55753","OGDHL"
"4967","OGDH"
"1743","DLST"
"8802","SUCLG1"
"8801","SUCLG2"
"8803","SUCLA2"
"6389","SDHA"
"6390","SDHB"
"6391","SDHC"
"6392","SDHD"
"2271","FH"
"4190","MDH1"
"4191","MDH2"
"5091","PC"
"2539","G6PD"
"25796","PGLS"
"9563","H6PD"
"5226","PGD"
"6120","RPE"
"729020","RPEL1"
"7086","TKT"
"84076","TKTL2"
"8277","TKTL1"
"6888","TALDO1"
"22934","RPIA"
"23729","SHPK"
"51071","DERA"
"64080","RBKS"
"221823","PRPS1L1"
"5634","PRPS2"
"5631","PRPS1"
"9104","RGN"
"414328","IDNK"
"132158","GLYCTK"
"2990","GUSB"
"9365","KL"
"10941","UGT2A1"
"79799","UGT2A3"
"7367","UGT2B17"
"10720","UGT2B11"
"54490","UGT2B28"
"54578","UGT1A6"
"54657","UGT1A4"
"54658","UGT1A1"
"54659","UGT1A3"
"7365","UGT2B10"
"54600","UGT1A9"
"7364","UGT2B7"
"54575","UGT1A10"
"54576","UGT1A8"
"54579","UGT1A5"
"7366","UGT2B15"
"54577","UGT1A7"
"7363","UGT2B4"
"574537","UGT2A2"
"7358","UGDH"
"7360","UGP2"
"51084","CRYL1"
"9942","XYLB"
"231","AKR1B1"
"57016","AKR1B10"
"441282","AKR1B15"
"51181","DCXR"
"6652","SORD"
"27294","DHDH"
"55277","FGGY"
"729920","CRPPA"
"4351","MPI"
"5373","PMM2"
"5372","PMM1"
"29925","GMPPB"
"29926","GMPPA"
"2762","GMDS"
"7264","GFUS"
"8790","FPGT"
"197258","FCSK"
"55556","ENOSF1"
"5207","PFKFB1"
"5208","PFKFB2"
"5209","PFKFB3"
"5210","PFKFB4"
"57103","TIGAR"
"3795","KHK"
"26007","TKFC"
"2584","GALK1"
"2592","GALT"
"2582","GALE"
"2720","GLB1"
"3938","LCT"
"3906","LALBA"
"2683","B4GALT1"
"8704","B4GALT2"
"2717","GLA"
"8972","MGAM"
"93432","MGAM2"
"2548","GAA"
"2595","GANC"
"6476","SI"
"55586","MIOX"
"31","ACACA"
"32","ACACB"
"197322","ACSF3"
"27349","MCAT"
"2194","FASN"
"54995","OXSM"
"84869","CBR4"
"7923","HSD17B8"
"109703458","HTD2"
"51102","MECR"
"55301","OLAH"
"23305","ACSL6"
"2182","ACSL4"
"2180","ACSL1"
"51703","ACSL5"
"2181","ACSL3"
"23205","ACSBG1"
"81616","ACSBG2"
"10449","ACAA2"
"3032","HADHB"
"3033","HADH"
"3030","HADHA"
"1892","ECHS1"
"5538","PPT1"
"9374","PPT2"
"64834","ELOVL1"
"54898","ELOVL2"
"83401","ELOVL3"
"6785","ELOVL4"
"60481","ELOVL5"
"79071","ELOVL6"
"79993","ELOVL7"
"51144","HSD17B12"
"201562","HACD2"
"9200","HACD1"
"401494","HACD4"
"51495","HACD3"
"9524","TECR"
"122970","ACOT4"
"10965","ACOT2"
"641371","ACOT1"
"11332","ACOT7"
"117145","THEM4"
"284486","THEM5"
"39","ACAT2"
"38","ACAT1"
"30","ACAA1"
"1962","EHHADH"
"8310","ACOX3"
"51","ACOX1"
"35","ACADS"
"34","ACADM"
"33","ACADL"
"36","ACADSB"
"37","ACADVL"
"2639","GCDH"
"1374","CPT1A"
"1375","CPT1B"
"126129","CPT1C"
"1376","CPT2"
"1632","ECI1"
"10455","ECI2"
"113612","CYP2U1"
"2222","FDFT1"
"6713","SQLE"
"4047","LSS"
"1595","CYP51A1"
"7108","TM7SF2"
"3930","LBR"
"6307","MSMO1"
"50814","NSDHL"
"51478","HSD17B7"
"10682","EBP"
"1718","DHCR24"
"6309","SC5D"
"1717","DHCR7"
"3988","LIPA"
"1056","CEL"
"8435","SOAT2"
"6646","SOAT1"
"120227","CYP2R1"
"1594","CYP27B1"
"1591","CYP24A1"
"10005","ACOT8"
"10858","CYP46A1"
"10998","SLC27A5"
"1109","AKR1C4"
"1581","CYP7A1"
"1582","CYP8B1"
"1593","CYP27A1"
"23600","AMACR"
"3295","HSD17B4"
"51302","CYP39A1"
"570","BAAT"
"6342","SCP2"
"6718","AKR1D1"
"80270","HSD3B7"
"8309","ACOX2"
"9023","CH25H"
"9420","CYP7B1"
"6898","TAT"
"27235","COQ2"
"51004","COQ6"
"51805","COQ3"
"51117","COQ4"
"84274","COQ5"
"10229","COQ7"
"1728","NQO1"
"2677","GGCX"
"79001","VKORC1"
"154807","VKORC1L1"
"3242","HPD"
"100861540","CYP3A7-CYP3A51P"
"1312","COMT"
"1543","CYP1A1"
"1544","CYP1A2"
"1545","CYP1B1"
"1551","CYP3A7"
"1571","CYP2E1"
"1576","CYP3A4"
"1577","CYP3A5"
"1583","CYP11A1"
"1584","CYP11B1"
"1585","CYP11B2"
"1586","CYP17A1"
"1588","CYP19A1"
"1589","CYP21A2"
"1645","AKR1C1"
"1646","AKR1C2"
"220074","LRTOMT"
"3283","HSD3B1"
"3284","HSD3B2"
"3290","HSD11B1"
"3291","HSD11B2"
"3292","HSD17B1"
"3293","HSD17B3"
"3294","HSD17B2"
"340811","AKR1C8"
"374875","HSD11B1L"
"412","STS"
"51170","HSD17B11"
"6715","SRD5A1"
"6716","SRD5A2"
"6783","SULT1E1"
"6820","SULT2B1"
"79154","DHRS11"
"79644","SRD5A3"
"8630","HSD17B6"
"8644","AKR1C3"
"4535","ND1"
"4536","ND2"
"4537","ND3"
"4538","ND4"
"4539","ND4L"
"4540","ND5"
"4541","ND6"
"4719","NDUFS1"
"4720","NDUFS2"
"4722","NDUFS3"
"4724","NDUFS4"
"4725","NDUFS5"
"4726","NDUFS6"
"374291","NDUFS7"
"4728","NDUFS8"
"4723","NDUFV1"
"4729","NDUFV2"
"4731","NDUFV3"
"4694","NDUFA1"
"4695","NDUFA2"
"4696","NDUFA3"
"4697","NDUFA4"
"56901","NDUFA4L2"
"107984365","LOC107984365"
"4698","NDUFA5"
"4700","NDUFA6"
"4701","NDUFA7"
"4702","NDUFA8"
"4704","NDUFA9"
"4705","NDUFA10"
"4706","NDUFAB1"
"126328","NDUFA11"
"55967","NDUFA12"
"51079","NDUFA13"
"4707","NDUFB1"
"4708","NDUFB2"
"4709","NDUFB3"
"4710","NDUFB4"
"4711","NDUFB5"
"4712","NDUFB6"
"4713","NDUFB7"
"4714","NDUFB8"
"4715","NDUFB9"
"4716","NDUFB10"
"54539","NDUFB11"
"4717","NDUFC1"
"4718","NDUFC2"
"100532726","NDUFC2-KCTD14"
"7386","UQCRFS1"
"4519","CYTB"
"1537","CYC1"
"7384","UQCRC1"
"7385","UQCRC2"
"7388","UQCRH"
"440567","UQCRHL"
"7381","UQCRB"
"27089","UQCRQ"
"29796","UQCR10"
"10975","UQCR11"
"1352","COX10"
"4514","COX3"
"4512","COX1"
"4513","COX2"
"84701","COX4I2"
"1327","COX4I1"
"9377","COX5A"
"1329","COX5B"
"1337","COX6A1"
"1339","COX6A2"
"1340","COX6B1"
"125965","COX6B2"
"1345","COX6C"
"1346","COX7A1"
"1347","COX7A2"
"9167","COX7A2L"
"1349","COX7B"
"170712","COX7B2"
"1350","COX7C"
"341947","COX8C"
"1351","COX8A"
"1353","COX11"
"1355","COX15"
"10063","COX17"
"54205","CYCS"
"498","ATP5F1A"
"506","ATP5F1B"
"509","ATP5F1C"
"513","ATP5F1D"
"514","ATP5F1E"
"539","ATP5PO"
"4508","ATP6"
"515","ATP5PB"
"516","ATP5MC1"
"517","ATP5MC2"
"518","ATP5MC3"
"10476","ATP5PD"
"521","ATP5ME"
"9551","ATP5MF"
"124901481","LOC124901481"
"10632","ATP5MG"
"267020","ATP5MGL"
"522","ATP5PF"
"4509","ATP8"
"523","ATP6V1A"
"525","ATP6V1B1"
"526","ATP6V1B2"
"245973","ATP6V1C2"
"528","ATP6V1C1"
"51382","ATP6V1D"
"90423","ATP6V1E2"
"529","ATP6V1E1"
"9296","ATP6V1F"
"101927180","LOC101927180"
"9550","ATP6V1G1"
"127124","ATP6V1G3"
"534","ATP6V1G2"
"51606","ATP6V1H"
"10312","TCIRG1"
"23545","ATP6V0A2"
"50617","ATP6V0A4"
"535","ATP6V0A1"
"527","ATP6V0C"
"533","ATP6V0B"
"9114","ATP6V0D1"
"245972","ATP6V0D2"
"8992","ATP6V0E1"
"155066","ATP6V0E2"
