ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0044282,small molecule catabolic process,108/564,375/18986,0.288,9.694978723404255,29.75608335867146,1.0970555492964055e-76,3.772774034030339e-73,3.0729103333449846e-73,1591/5009/2731/33/54363/222/160428/57016/7498/10993/8277/189/55811/8630/1757/8644/217/5224/56603/259307/122970/197257/2326/3034/1593/22875/8528/2530/84706/6999/2571/11332/593/4842/3101/384/23475/1594/2529/8309/64064/978/5226/3176/23464/23175/1374/8942/5973/3074/130589/5019/10449/221/2026/5373/51540/1806/7915/5208/1738/51/84693/4860/2746/6342/6652/55902/2820/2639/5860/4351/84532/2720/3295/55862/7167/197322/26275/35/64087/7378/37/38/3032/2805/6470/5096/414328/5223/5095/10007/219/5315/30/549/3033/2806/2653/51071/5236/594/26007/2023/2584/1635/51005/11164,108
GO:1901293,nucleoside phosphate biosynthetic process,88/564,321/18986,0.27414330218068533,9.22851903404697,26.015768590511875,3.941313548092147e-60,6.777088645944447e-57,5.519913342880633e-57,2984/54898/114/377841/2977/270/55811/26289/205/4881/83401/203/11332/6241/272/7298/7371/115/23475/79993/7083/5740/29925/4830/6785/2180/978/4199/79071/2762/10135/5471/10606/4833/8942/2194/5373/3615/1738/4860/5238/55902/2639/3614/4351/84532/197322/91373/7378/113/38/83594/50484/6240/8790/54981/60490/1841/204/5198/56474/6470/523/29926/10007/64841/55907/790/6389/4715/27010/54539/9524/5631/4832/4712/471/2023/80347/5162/1635/51005/3251/64834/47/7084/51703/4728,88
GO:0043603,amide metabolic process,98/564,472/18986,0.2076271186440678,6.989376727972112,23.05573459588856,7.316247221867948e-55,8.386858065334623e-52,6.831064511365124e-52,79094/7368/5009/54898/160428/166929/3158/7498/1056/2583/2938/641371/4248/15/438/242/6480/122970/3034/83401/6999/7941/440/11332/8612/2687/9027/27090/384/9331/129807/79993/2529/79814/6785/2180/8876/79071/494143/2941/2678/55331/2539/9446/9334/3156/8703/5973/3074/427/2194/84649/79603/8875/1719/55512/1738/259230/23474/84693/4860/7357/2729/55902/2639/54995/23410/4258/84532/3295/10654/197322/2581/64087/3157/38/6482/60490/6470/10007/2950/686/55907/6609/27010/9524/4597/4598/10400/6483/6610/80347/5162/51005/64834/47/51703/22978,98
GO:0006790,sulfur compound metabolic process,83/564,338/18986,0.2455621301775148,8.266387594947332,23.585074009369688,1.789340159722424e-52,1.538385202321354e-49,1.2530089907950975e-49,90161/10331/79094/54898/3158/9956/8277/189/79586/2938/641371/9955/26227/9957/122970/2326/83401/3373/6999/11332/2687/9027/93010/51074/79993/79369/6785/2180/8876/79071/494143/2941/2678/2539/9446/23382/3156/9435/3074/2194/3340/84649/51363/1738/23474/55454/84693/2729/55902/2639/54995/2799/26035/4258/84532/2720/3295/10654/197322/64087/191/3157/4524/38/6482/2137/26229/60490/50515/2950/686/27010/9524/4597/4598/6483/9653/11019/80347/5162/64834/47/51703,83
GO:0006066,alcohol metabolic process,82/564,363/18986,0.22589531680440772,7.6043412851923495,22.22974405144095,8.918079373443328e-49,6.133854993054321e-46,4.996001939522673e-46,130/33/54363/1551/222/57016/3158/1066/1056/8277/116255/1621/8630/8644/217/9420/195814/125/1646/1593/216/3291/8612/2053/1718/1594/6307/3706/1545/847/3418/55331/27124/2539/2643/3156/3705/6697/27235/427/10449/84649/221/5336/1719/5959/224/2222/4952/1727/57104/6342/6652/55902/2820/8867/5860/84532/7167/10654/4047/37/3157/116150/6713/3633/2805/1798/84105/10682/219/8818/6609/50814/27010/4597/4598/54884/26007/2584/47/8813,82
GO:0009117,nucleotide metabolic process,91/564,500/18986,0.182,6.126687943262411,20.32716791414961,9.301476232583125e-46,5.331296127308894e-43,4.3423207464743326e-43,2984/114/2819/160428/7498/2977/270/55811/26289/952/205/5224/4881/2326/203/2203/4907/6241/3101/272/7298/7371/115/23475/5740/4830/2766/978/4199/5226/3418/2539/10135/5471/7086/10606/4833/8942/230/55526/23729/2597/2026/3615/5141/1806/5091/5208/4860/5150/2820/6888/3614/7167/4190/7378/113/23171/83594/50484/6240/54981/1841/204/5198/56474/6470/523/3939/8623/5223/5315/790/79077/6389/4715/54539/5631/51071/5236/4832/4712/471/2023/2584/1635/3251/7084/4728/11164/22978,91
GO:0016053,organic acid biosynthetic process,76/564,334/18986,0.2275449101796407,7.659871745869961,21.485865832762943,1.9979295083488985e-45,9.815542256016946e-43,7.994722438671307e-43,5831/5319/255189/5009/54898/33/54363/1066/50487/10993/189/5352/29968/8644/9420/2628/26227/242/6319/122970/2326/83401/1593/216/4048/440/2571/11332/2687/5742/4023/4259/51074/79993/240/5740/2593/5832/8309/6785/6472/79071/2678/55301/401494/8942/4282/5730/2194/1806/7923/2746/6342/55902/54995/4258/84532/197322/6916/37/10998/4524/2879/2805/80142/6470/22929/84105/2950/2806/9524/51495/7390/11019/64834/47,76
GO:0046394,carboxylic acid biosynthetic process,75/564,331/18986,0.22658610271903323,7.627595294722633,21.283782631778987,1.097589068958056e-44,4.718261010183444e-42,3.843005937496562e-42,5831/5319/255189/5009/54898/33/54363/1066/50487/10993/189/5352/29968/8644/9420/2628/26227/242/6319/122970/83401/1593/216/4048/440/2571/11332/2687/5742/4023/4259/51074/79993/240/5740/2593/5832/8309/6785/6472/79071/2678/55301/401494/8942/4282/5730/2194/1806/7923/2746/6342/55902/54995/4258/84532/197322/6916/37/10998/4524/2879/2805/80142/6470/22929/84105/2950/2806/9524/51495/7390/11019/64834/47,75
GO:0006631,fatty acid metabolic process,81/564,405/18986,0.2,6.732624113475178,20.404356359905048,6.864403807733774e-44,2.6229649660884943e-41,2.1363951499859153e-41,5319/255189/1548/54898/33/54363/160428/1066/50487/2938/641371/8644/242/6319/122970/2326/1646/83401/23409/11332/2687/5742/4023/4259/79993/240/6307/5740/3248/8309/6785/1545/2180/2052/79071/23175/2678/1374/55301/401494/4282/5730/427/2194/10449/1312/224/51/29785/84693/7923/6342/55902/2639/54995/2329/84532/3295/55862/197322/35/6916/37/10998/38/2879/3032/80142/5096/5095/2950/30/549/3033/27010/9524/51495/11019/64834/47/51703,81
GO:0016054,organic acid catabolic process,65/564,249/18986,0.26104417670682734,8.787561593893304,21.64350553485381,7.105169356566999e-43,2.221334310657628e-40,1.8092684840023716e-40,5009/2731/33/54363/160428/10993/189/1757/56603/259307/122970/197257/2326/3034/8528/84706/6999/2571/11332/593/4842/384/23475/8309/5226/3176/23464/23175/1374/8942/5973/3074/10449/51540/7915/1738/51/84693/2746/6342/6652/2639/5860/3295/55862/197322/26275/35/64087/37/38/3032/2805/6470/5096/414328/5095/10007/30/549/3033/2806/2653/594/51005,65
