ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0016829,lyase activity,63/569,201/18737,0.31343283582089554,10.321249639325343,23.512844357604525,2.1196879552520925e-46,1.1955040067621802e-43,6.872251475975205e-44,2984/768/79094/2731/762/114/759/10993/2977/1644/55811/952/242/48/4881/3034/2571/593/683/115/4259/51074/10873/5740/760/6472/1545/1586/4199/494143/2762/10606/401494/230/11238/2194/2026/377677/113451/51540/29785/4953/4258/3295/79017/55862/7167/6916/113/3032/2805/80142/60490/6470/85007/84105/549/4597/51071/51495/26007/7390/2023,63
GO:0016757,glycosyltransferase activity,67/569,267/18737,0.250936329588015,8.263258361143473,21.15410653209327,2.227648443442502e-42,6.281968610507856e-40,3.6111353714752136e-40,7367/10331/7368/338707/79623/2583/79586/4248/442117/8908/6480/8704/727936/23409/2530/79695/84620/55808/27090/93010/84002/9331/23475/2529/79369/6489/10610/148789/10135/5471/9334/8703/3074/5836/152002/2997/55454/11285/4860/6185/7357/285203/79709/3955/5277/10195/80235/58505/2590/29880/11226/7378/3703/4249/56052/6482/2137/26229/63917/23275/145173/1798/2632/2992/6483/3251/8813,67
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",45/569,132/18737,0.3409090909090909,11.22603451030516,20.865096320606234,3.5470675994879233e-35,6.668487087037296e-33,3.833322177692211e-33,130/54363/2819/57016/8630/8644/22977/26227/3293/195814/125/197257/218/1646/3291/10873/3248/4199/5226/3418/2539/3156/79154/6697/3292/2194/51170/5959/3615/224/7923/79944/622/6652/2820/3614/3295/4190/23171/3032/3939/3033/50814/2531/317749,45
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",41/569,122/18737,0.3360655737704918,11.0665389380276,19.741019807650027,7.562924391053908e-32,1.0663723391386011e-29,6.129949243275273e-30,130/2819/57016/8630/8644/22977/26227/3293/195814/125/197257/218/1646/3291/10873/3248/4199/5226/3418/2539/3156/79154/6697/3292/2194/51170/5959/3615/7923/622/6652/3614/3295/4190/23171/3032/3939/3033/50814/2531/317749,41
GO:0016758,hexosyltransferase activity,49/569,197/18737,0.24873096446700507,8.190636346605052,17.955048612018327,5.853397569211945e-31,6.602632458071074e-29,3.795466213299535e-29,7367/10331/7368/338707/79623/2583/79586/4248/442117/8908/8704/2530/79695/93010/84002/9331/2529/79369/148789/9334/8703/3074/5836/2997/55454/11285/6185/7357/285203/79709/3955/5277/10195/80235/58505/2590/29880/11226/3703/4249/56052/2137/26229/63917/23275/145173/2632/2992/8813,49
GO:0008194,UDP-glycosyltransferase activity,39/569,145/18737,0.2689655172413793,8.856954123992484,16.808005231270137,3.1392001238586494e-26,2.9508481164271306e-24,1.6962695406113404e-24,7367/10331/7368/338707/79623/2583/79586/4248/442117/8908/8704/727936/79695/93010/84002/9331/79369/148789/9334/8703/3074/152002/2997/55454/11285/7357/285203/79709/3955/5277/2590/29880/11226/4249/2137/26229/63917/145173/2992,39
GO:0016836,hydro-lyase activity,23/569,61/18737,0.3770491803278688,12.416116857299258,15.804559724012767,1.0283212726970095e-19,8.285331397158762e-18,4.7627511577545694e-18,768/762/759/48/51074/5740/760/1545/2762/401494/11238/2194/2026/377677/29785/3295/6916/3032/84105/549/51495/7390/2023,23
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",22/569,59/18737,0.3728813559322034,12.27887164516994,15.355624591520877,8.64510039994775e-19,6.094795781963164e-17,3.5035406883998776e-17,33/8644/1646/1718/8309/644/2194/1806/51/29785/2639/35/6916/37/5498/1371/80142/6715/30/6389/9524/54884,22
GO:0019842,vitamin binding,32/569,150/18737,0.21333333333333335,7.0250029291154075,13.111103745822716,1.9057493798937897e-18,1.194269611400108e-16,6.865155660903944e-17,2731/10993/8277/189/5352/1621/1644/29968/9365/84706/2571/7298/6472/23464/7086/211/8942/283208/2194/55526/5836/1719/51540/5091/326625/2805/6470/85007/5095/2806/27010/7390,32
GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",38/569,224/18737,0.16964285714285715,5.586288601556616,12.220472559375565,4.684648208795497e-18,2.6421415897606604e-16,1.5188122613779086e-16,54898/116255/15/83401/23409/339983/9027/56895/79993/6785/79888/79071/23464/1374/211/10555/2194/5050/10449/84649/79603/5051/57104/6342/55326/54995/54947/38/3032/284098/54675/5049/64841/30/39/9/10554/64834,38
GO:0016835,carbon-oxygen lyase activity,24/569,79/18737,0.3037974683544304,10.003959867411181,14.192390864899107,5.6041426783244175e-18,2.8733967914317923e-16,1.6517473157166705e-16,768/762/759/48/51074/5740/760/1545/2762/401494/11238/2194/2026/377677/29785/3295/7167/6916/3032/84105/549/51495/7390/2023,24
GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",19/569,47/18737,0.40425531914893614,13.312006880305127,14.955954638075083,3.444363215478124e-17,1.6188507112747183e-15,9.30582342427423e-16,54363/222/160428/57016/8644/217/218/216/593/5832/55526/2597/221/7915/1738/224/219/594/5162,19
GO:0051287,NAD binding,20/569,54/18737,0.37037037037037035,12.196185640825359,14.580911541985497,3.9330504106874786e-17,1.7063387935597986e-15,9.808741105196303e-16,2819/217/26227/216/3291/23409/10873/3248/4199/3418/2597/1727/7923/2746/6652/23410/5860/23171/219/3033,20
GO:0050660,flavin adenine dinucleotide binding,23/569,86/18737,0.26744186046511625,8.806780561572731,12.84136374875054,6.372902931508743e-16,2.5673694666935223e-14,1.4758301525599194e-14,33/7498/197257/2326/8528/4842/1718/51700/8309/8540/1806/1738/51/1727/2639/2329/35/37/10587/5498/4524/6713/6389,23
GO:0050661,NADP binding,19/569,54/18737,0.35185185185185186,11.586376358784092,13.786750433535893,7.441575769526237e-16,2.7980324893418653e-14,1.608424797904618e-14,2326/4842/10873/847/4199/5226/2762/2539/3156/6697/3292/2597/1719/1806/5860/2329/4524/6715/2531,19
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",17/569,41/18737,0.4146341463414634,13.653778558875219,14.354194285603779,9.677010797841662e-16,3.4111463062391856e-14,1.9608679774573892e-14,222/160428/57016/8644/217/218/216/593/5832/2597/221/7915/1738/224/219/594/5162,17
GO:0042578,phosphoric ester hydrolase activity,44/569,363/18737,0.12121212121212122,3.99147893699739,10.185407693340547,4.549347043852151e-15,1.5093127839603607e-13,8.676154114591099e-14,196051/2822/84513/2203/4907/5137/249/8612/2053/54/56261/23175/27124/9896/5148/5153/51196/5336/9110/55512/5141/5208/4952/64077/5331/5150/8867/5140/3635/8871/51020/22876/5330/56985/3633/51763/6609/27068/52/5333/6610/4534/8897/22978,44
GO:0052689,carboxylic ester hydrolase activity,31/569,195/18737,0.15897435897435896,5.234978144292731,10.520374553752397,3.7137250379948194e-14,1.1636338452383768e-12,6.689048606446809e-13,5319/255189/84647/1066/759/1056/50487/641371/217/2822/43/122970/10908/7941/11332/4023/760/51365/5050/51196/3340/5336/55512/5051/57104/5331/5330/5049/6609/5333/6610,31
GO:0004497,monooxygenase activity,23/569,106/18737,0.2169811320754717,7.145123851842027,11.22810593496548,8.594057531832384e-14,2.5510781305018236e-12,1.4664652187281853e-12,1591/1588/1548/1551/1621/8644/9420/56603/2326/1646/1593/4842/1594/6307/5740/1545/1586/29785/2329/6916/3163/6713/84105,23
GO:0070279,vitamin B6 binding,17/569,57/18737,0.2982456140350877,9.821138963401474,11.803604984433345,5.677038227310275e-13,1.6009247801014977e-11,9.202777757955602e-12,2731/10993/189/1644/29968/84706/2571/6472/23464/211/8942/5836/51540/2805/6470/85007/2806,17
GO:0005506,iron ion binding,26/569,153/18737,0.16993464052287582,5.595896941084577,10.101535860521066,8.956198866241892e-13,2.405379124076394e-11,1.3827114039110289e-11,1591/1588/1548/1551/7498/8424/5352/9420/242/6319/56603/1593/6241/1594/240/6307/2495/5740/1545/54/1586/283208/84890/23474/29785/6916,26
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",28/569,180/18737,0.15555555555555556,5.122397969146651,9.834975800169323,1.1296058209634102e-12,2.895898559197106e-11,1.664682262472394e-11,1591/1588/1548/1551/8424/5352/1621/8644/9420/6319/56603/2326/1646/1593/4842/5742/1594/6307/5740/1545/1586/283208/29785/2329/6916/3163/6713/84105,28
GO:0016830,carbon-carbon lyase activity,16/569,52/18737,0.3076923076923077,10.132215763147222,11.670038693834748,1.5996565983916466e-12,3.9226361804038635e-11,2.2548935116916575e-11,1644/2571/593/10873/6472/4199/10606/230/113451/4953/55862/2805/60490/6470/4597/51071,16
GO:0016229,steroid dehydrogenase activity,13/569,33/18737,0.3939393939393939,12.97230654524152,12.181718591705884,5.355991546414379e-12,1.258658013407379e-10,7.23528682585802e-11,8630/8644/3293/1646/3291/79154/3292/51170/5959/7923/3295/6715/50814,13
GO:0030170,pyridoxal phosphate binding,16/569,56/18737,0.2857142857142857,9.408486065779563,11.152000328858637,5.744590602536075e-12,1.2959796399321385e-10,7.449826970867836e-11,2731/10993/189/1644/29968/84706/2571/6472/23464/211/8942/5836/2805/6470/85007/2806,16
GO:0034595,phosphatidylinositol phosphate 5-phosphatase activity,9/569,13/18737,0.6923076923076923,22.79748546708125,13.912967420602815,1.3239184139049182e-11,2.871884559393746e-10,1.6508780221972262e-10,27124/9896/4952/8867/3635/8871/22876/3633/51763,9
GO:0004602,glutathione peroxidase activity,11/569,23/18737,0.4782608695652174,15.748987544891877,12.525175671503472,1.787963323541436e-11,3.7348567202865556e-10,2.1469501116988782e-10,2877/1356/2938/2882/2878/4259/4257/493869/4258/2879/2950,11
GO:0016741,"transferase activity, transferring one-carbon groups",29/569,216/18737,0.13425925925925927,4.421117294799193,8.949600217265566,1.9071300517029248e-11,3.841504818430177e-10,2.208255849340229e-10,5009/2628/438/5409/11185/79813/7298/2593/6472/1789/3176/1312/2146/83852/79723/7799/1786/10919/6419/64754/1788/64324/6470/8623/2653/790/80854/10400/471,29
GO:0033764,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",12/569,30/18737,0.4,13.171880492091388,11.807480726400854,2.8795120872162537e-11,5.347791170328347e-10,3.0741315424806467e-10,8630/8644/3293/1646/3291/79154/3292/51170/5959/7923/3295/50814,12
GO:0052866,phosphatidylinositol phosphate phosphatase activity,12/569,30/18737,0.4,13.171880492091388,11.807480726400854,2.8795120872162537e-11,5.347791170328347e-10,3.0741315424806467e-10,27124/9896/9110/4952/8867/3635/8871/22876/3633/51763/4534/8897,12
GO:0004439,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity",8/569,10/18737,0.8,26.343760984182776,14.186588456700427,2.939388763832956e-11,5.347791170328347e-10,3.0741315424806467e-10,27124/9896/4952/8867/3635/8871/3633/51763,8
GO:0034593,phosphatidylinositol bisphosphate phosphatase activity,11/569,26/18737,0.4230769230769231,13.93179667432743,11.677182121409713,9.403932558015016e-11,1.6574431133501466e-9,9.52766851272574e-10,27124/9896/9110/4952/8867/3635/8871/3633/51763/4534/8897,11
