category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,51/570,116/8541,0.4396551724137931,6.587885662431942,16.203226749165534,6.014507710401646e-30,1.6900766666228624e-27,1.196570481332538e-27,2731/54363/10993/8277/189/29968/26227/5224/48/2203/84706/3101/10873/6472/847/4199/5226/3418/2539/7086/230/2597/2026/5091/1738/51/84693/2746/55902/6888/84532/7167/26275/4190/35/38/2805/6470/5096/414328/5223/5095/5315/2806/39/2653/6389/5631/26007/2023/5162,51
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,46/570,128/8541,0.359375,5.384950657894737,13.366084726974437,1.277390665183764e-22,1.7947338845831884e-20,1.270667556419639e-20,2984/114/377841/7498/2977/270/55811/26289/205/4881/203/22875/4907/5137/6241/272/953/115/4830/2766/5471/10606/4833/5148/5153/3615/5141/4860/5150/5140/3614/51020/113/50484/6240/56985/204/5198/5631/5236/4832/471/3251/124583/11164/22978,46
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,35/570,85/8541,0.4117647058823529,6.169969040247677,12.809284649480855,1.0012416707463294e-19,7.32679925497082e-18,5.187357404718056e-18,377841/7498/270/26289/205/203/4907/6241/272/953/7298/7371/7083/4830/2766/978/4833/3615/4860/3614/51020/7378/50484/6240/1841/204/56474/8623/79077/4832/1635/3251/7084/124583/22978,35
Metabolism,Global and overview maps,hsa01212,Fatty acid metabolism,29/570,57/8541,0.5087719298245614,7.623545706371192,13.416449308040782,1.0429607480385508e-19,7.32679925497082e-18,5.187357404718056e-18,54898/33/6319/83401/79993/6785/2180/79071/1374/401494/2194/10449/51/7923/6342/54995/3295/197322/35/37/38/3032/30/3033/39/9524/51495/64834/51703,29
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,46/570,152/8541,0.3026315789473684,4.534695290858726,11.757869527700464,3.9941052961806363e-19,2.2446871764535178e-17,1.5892334757434534e-17,7367/29968/8630/26289/217/205/195814/203/6999/249/23475/29925/8836/4830/6472/2643/211/4833/8942/6697/27235/1719/5373/1738/224/2729/54995/4351/3145/326625/5498/1371/60490/204/56474/6470/29926/219/790/27010/4338/124454/4832/7390/11019/80347,46
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,28/570,59/8541,0.4745762711864407,7.111150758251561,12.59533804566806,4.9778984145786686e-18,2.3313157574943434e-16,1.650566316412927e-16,79094/2877/2938/290/2882/6241/2687/2878/9027/6723/4259/4257/493869/5226/3418/494143/2941/2678/2539/9446/4953/2729/4258/79017/50484/6240/2879/2950,28
Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",25/570,48/8541,0.5208333333333334,7.8042763157894735,12.641015297356242,1.7733231100928296e-17,7.11862562765836e-16,5.039970944474359e-16,3158/217/259307/593/64064/5019/10449/1738/224/84693/197322/26275/35/64087/3157/38/3032/5096/5095/219/30/549/3033/39/594,25
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,25/570,58/8541,0.43103448275862066,6.458711433756806,11.154223916057475,5.296236071649933e-15,1.860302920167039e-13,1.3170902862392597e-13,377841/4907/6241/953/7298/7371/7083/4830/978/4833/1806/51020/7378/50484/6240/1841/56474/8623/790/79077/4832/1635/7084/124583/22978,25
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,33/570,103/8541,0.32038834951456313,4.800766479305059,10.377195475611432,7.48259088369638e-15,2.2576562655662359e-13,1.5984155616857786e-13,196051/5319/255189/2819/166929/84647/139189/50487/9162/122618/43/84513/10908/8612/56895/56261/79888/51365/23175/55224/10555/1606/259230/55326/2820/54947/23171/56985/5130/5833/54675/10400/10554,33
Metabolism,Glycan biosynthesis and metabolism,hsa00510,N-Glycan biosynthesis,24/570,54/8541,0.4444444444444444,6.659649122807018,11.156275868758591,8.034363934399416e-15,2.2576562655662359e-13,1.5984155616857786e-13,4248/6480/8704/2530/84620/8703/10905/4122/1650/6185/10195/7841/58505/29880/3703/4249/56052/746/57171/1798/8818/23193/1603/8813,24
