ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-8978868,Fatty acid metabolism,53/539,176/11146,0.30113636363636365,6.227209478832855,15.756547366924371,2.5416544507149545e-28,1.39028498454108e-25,1.0059600773356031e-25,54898/33/2877/641371/8644/3293/242/6319/122970/83401/4048/11332/2687/2053/5742/79993/240/5740/3248/8309/6785/1545/2180/79071/2678/1374/55301/401494/5730/2194/10449/224/51/84693/7923/6342/3295/197322/35/6916/37/2879/3032/80142/5096/5095/30/3033/9524/51495/64834/47/51703,53
R-HSA-15869,Metabolism of nucleotides,40/539,99/11146,0.40404040404040403,8.35516575776316,16.570133958210825,3.3927572540035704e-27,9.279191089699765e-25,6.714088039501803e-25,377841/7498/270/26289/205/203/4907/6241/272/953/7298/7371/7083/4830/2766/978/5471/10606/4833/3615/1806/4860/3614/7378/50484/6240/56985/1841/204/5198/56474/790/79077/4832/471/1635/3251/7084/11164/22978,40
R-HSA-71387,Metabolism of carbohydrates,64/539,290/11146,0.2206896551724138,4.5636491587230505,13.861082785943502,1.3969973902101869e-25,2.5471919081499075e-23,1.843056206031685e-23,90161/10331/9956/79586/9955/5224/8908/9957/3373/2203/8704/216/3101/283209/93010/9331/2529/79369/5226/2539/9334/7086/8703/9435/2548/3074/230/5836/23729/3340/2597/2026/51363/2997/5091/5208/55454/11285/6652/6888/2799/26035/2720/23324/7167/411/6482/26229/4125/2588/50515/5223/10007/5315/5631/2632/51071/5236/2992/6483/26007/9653/2023/2584,64
R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",30/539,79/11146,0.379746835443038,7.852798196378668,13.778586531279775,9.385730202757393e-20,1.2834986052270735e-17,9.286933042728368e-18,6480/84620/55808/27090/129807/29925/6489/10610/2762/5973/5373/5238/10195/4351/2720/29880/56052/116150/6482/8790/57171/29926/64841/1798/8818/55907/4597/6483/51005/8813,30
R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,27/539,64/11146,0.421875,8.723967996289424,13.968813347171318,2.5370814366842113e-19,2.7755670917325274e-17,2.0083002530384497e-17,6480/84620/55808/27090/129807/29925/6489/10610/2762/5973/5373/5238/4351/2720/29880/116150/6482/8790/57171/29926/64841/8818/55907/4597/6483/51005/8813,27
R-HSA-71291,Metabolism of amino acids and derivatives,62/539,367/11146,0.16893732970027248,3.493460995991163,10.949253477377349,1.8293799905279185e-18,1.6677847580312859e-16,1.2067489060324514e-16,5831/5009/2731/54363/8424/10993/548596/189/1621/1644/29968/1757/15/2628/438/26227/5409/11185/259307/2326/3034/54498/8528/84706/6999/440/593/339983/6723/29958/384/51074/2593/5832/79814/284716/3176/23464/8942/55526/84890/113451/51540/57494/1738/23474/4953/2746/2639/5860/26275/64087/191/38/2805/6470/85007/118672/549/2806/2653/594,62
R-HSA-211859,Biological oxidations,47/539,222/11146,0.21171171171171171,4.377993949422521,11.459947904986317,3.2238998640031273e-18,2.519247465156729e-16,1.822836614834851e-16,1591/7367/1588/130/79094/1548/1551/1066/26/8639/314/2938/217/22977/9420/125/56603/2326/218/1593/54498/216/2687/5742/4259/4257/1594/5740/1545/2052/494143/2941/2678/9446/1312/29785/1727/2729/55902/4258/84532/79017/6916/191/2950/219/9,47
R-HSA-5668914,Diseases of metabolism,48/539,250/11146,0.192,3.970374768089054,10.70744466631651,9.084315753764263e-17,6.211400896636315e-15,4.4943456887044255e-15,1591/1588/9420/8908/56603/1593/3373/79695/1594/1545/1586/2678/2548/3074/5373/2997/5091/11285/4860/2729/3955/10195/6888/7841/2799/4351/2720/64087/6916/191/326625/411/56052/116150/26229/2588/5096/145173/5095/1798/686/8818/2632/5236/2992/2584/3251/8813,48
R-HSA-211945,Phase I - Functionalization of compounds,29/539,106/11146,0.27358490566037735,5.657471908145763,10.86067391856524,9.215985851202323e-15,5.60127140067519e-13,4.0528779883649986e-13,1591/1588/130/1548/1551/1066/26/8639/314/217/9420/125/56603/2326/218/1593/54498/216/5742/1594/5740/1545/2052/29785/1727/55902/84532/6916/219,29
R-HSA-75105,Fatty acyl-CoA biosynthesis,18/539,37/11146,0.4864864864864865,10.060071202928345,12.443229866843156,1.1881926410418313e-14,6.499413746498818e-13,4.702741400333986e-13,54898/3293/6319/83401/79993/6785/2180/79071/55301/401494/2194/7923/197322/9524/51495/64834/47/51703,18
R-HSA-1483257,Phospholipid metabolism,41/539,212/11146,0.19339622641509435,3.999247383344419,9.938682545561042,1.3585249776395024e-14,6.755574206989162e-13,4.888089871698114e-13,5319/255189/2819/50487/122618/43/10908/56895/56261/79888/51365/23175/55224/27124/9896/10555/84649/9110/4952/57104/5294/55326/2820/8867/3635/8871/22876/54947/23171/5291/3032/5130/5833/54675/51763/23396/10400/10554/4534/8897/79837,41
R-HSA-8957322,Metabolism of steroids,33/539,154/11146,0.21428571428571427,4.431221839385104,9.665157435127817,2.72585398636414e-13,1.2425351087843205e-11,8.990535955025585e-12,1591/1588/8644/9420/3293/6319/1646/1593/3291/1718/1594/6307/8309/1586/79071/3156/3292/2194/51170/2222/6342/3295/10654/4047/3157/10998/6713/6715/10682/39/50814/4597/4598,33
R-HSA-196854,Metabolism of vitamins and cofactors,37/539,200/11146,0.185,3.8256215213358065,9.089487572940854,1.1470150075580299e-12,4.1349127076795155e-11,2.991873719017604e-11,160428/57016/8644/952/48/4907/4023/683/23475/5740/6472/54/8876/10135/9446/2643/6697/27235/2194/8875/1719/5091/1727/64087/326625/4524/83594/54981/60490/6470/5096/5095/686/27010/4338/54884/80347,37
R-HSA-1630316,Glycosaminoglycan metabolism,29/539,126/11146,0.23015873015873015,4.7594604941543714,9.566611449423586,1.1593573292436095e-12,4.1349127076795155e-11,2.991873719017604e-11,90161/10331/9956/79586/9955/9957/3373/8704/93010/9331/79369/9334/8703/9435/3074/3340/51363/55454/11285/2799/26035/2720/411/6482/26229/2588/50515/6483/9653,29
