gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GATM,92.82655825178306,1.2530053023384904,0.12050533306090061,10.397924062873221,2.5339335066057093e-25,3.922529068225638e-22
GUCY2C,14.539110995497671,2.8997735505284252,0.28870047108461944,10.044228676296438,9.740671812588645e-24,7.53927998294361e-21
PAICS,210.34589392137823,0.5697260027121994,0.057769174242919094,9.862110895276162,6.075838985572431e-23,3.135132916555374e-20
SGMS2,325.295500525956,-1.8088789273553592,0.20871264166647535,-8.666839310318172,4.442812959993845e-18,1.719368615517618e-15
NME1,725.3236998345664,0.6695961321403731,0.08250538334960097,8.115787176008697,4.826459014262291e-16,1.4942717108156053e-13
PYCR1,66.83009904167183,2.3693968083148222,0.2981640297685189,7.946621898537912,1.9166627199943764e-15,4.944989817585491e-13
UGT8,10.267995414197774,2.2054577599784504,0.28005386456196796,7.875119893196279,3.404162646823163e-15,7.528062538974652e-13
UCK2,64.38717520520026,0.8164067004198984,0.1069668594903729,7.6323330825037035,2.3054285249066377e-14,4.034158552688859e-12
SHMT2,272.1507976423259,0.6543689306690447,0.08595553908759351,7.612876815328981,2.6806125329711315e-14,4.034158552688859e-12
GPX7,163.1456623430403,0.9635181472576491,0.1263729510417794,7.624401735614342,2.4516873833253406e-14,4.034158552688859e-12
PLPP5,559.7932066953477,1.088817408203529,0.14318626291977685,7.604202987080975,2.866650134339629e-14,4.034158552688859e-12
ST6GAL1,332.29731669822763,1.1533750270924847,0.15304101129099562,7.536378761242185,4.8320178794939977e-14,6.233303064547257e-12
SDS,357.46408465798794,1.6851970815180946,0.23824801733627957,7.073289005127342,1.5130391056082347e-12,1.8016804119088827e-10
PGM2L1,212.4286115844148,0.8236057108683715,0.11666469468396051,7.059596848039442,1.669863607494193e-12,1.8463920460007218e-10
G6PD,362.75142995816304,-0.5866019208839482,0.08329530861240325,-7.042436490794143,1.8890694723234086e-12,1.9495196954377577e-10
ENTPD1,590.2292806425772,0.8393168928047597,0.12029792023266862,6.976985896193667,3.01579969737363e-12,2.917786207208987e-10
MOGAT1,13.760217463217119,-1.5124749200035321,0.21882749025725354,-6.911722646114832,4.7880330513012e-12,4.3599265667142694e-10
PNPLA6,470.53654763674245,-1.0628524372205863,0.15519062815482149,-6.848689575251039,7.452952266900113e-12,6.409538949534097e-10
AMPD3,79.76517433069445,0.88476096929406,0.12961794779387115,6.825914037005723,8.736723646995088e-12,7.118130634499156e-10
CHPF,185.10532877538594,1.5102442863185124,0.22233762516402547,6.792571815968429,1.1015194977442206e-11,8.525760912540268e-10
IL4I1,317.3778083182997,1.0878462237520528,0.16033490645796772,6.784837112417781,1.1621755889630285e-11,8.566894341498895e-10
FUT8,193.5233753851915,0.9788567200889948,0.14517627707541794,6.74253906911035,1.556423711188929e-11,1.0951563204183918e-9
ITPK1,212.83712114419288,-0.5610979603419367,0.08406381537339602,-6.6746668331629095,2.4779444673111237e-11,1.6677643632163562e-9
ENPP4,269.6540380321513,-1.0167136955180427,0.15280433819448466,-6.653696534610168,2.8582170347272246e-11,1.8435499873990599e-9
MSMO1,293.6930713497627,-0.7489624708150789,0.11293847219891598,-6.6315973311198,3.320734568717331e-11,2.0561988449497712e-9
ALDH1L2,21.765880050047357,1.8169269606566942,0.2748982956538895,6.609451529464172,3.857464914342856e-11,2.2966752643856698e-9
GMDS,163.26004369697046,0.5989686398994108,0.09126518276873692,6.562947903333283,5.2754282791158935e-11,3.0245788800264457e-9
ALDH18A1,88.01035353449254,0.6841362869741064,0.10514367278622816,6.506680514813778,7.682956725050333e-11,4.247577503706398e-9
ACAA2,579.3015505163598,-0.4704589224383781,0.0734568043928623,-6.404565599154923,1.5079810816733363e-10,8.049499015276982e-9
PLD4,272.526580853051,1.1064920144827495,0.17405502242859966,6.3571392485192515,2.0554565399194596e-10,1.0606155745984412e-8
PSAT1,62.21917212390836,1.3387807710936557,0.2108192246604255,6.3503732795245815,2.1479308455058042e-10,1.072579660917092e-8
PTGS1,135.5856346082074,0.8504431011329991,0.1363670840565727,6.236425065598586,4.476836101824772e-10,2.1656694642577334e-8
IDH2,1220.916228195542,0.6189690025993445,0.09978397913542608,6.203089994630143,5.536515730740959e-10,2.597129197329395e-8
ACO1,218.50430715364487,-1.1397636962923916,0.18436556077546848,-6.182085697016183,6.326016629217325e-10,2.8801981594201235e-8
