gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CYP24A1,18.637906021843644,3.2468612728808846,0.6527350260582118,4.974240914400272,6.550380571050636e-7,8.894727301742443e-6
PLPP4,2.8530042636094355,2.924172735605563,0.6032413545209165,4.847434138410303,1.2506853372778637e-6,1.5008224047334365e-5
GUCY2C,14.539110995497671,2.8997735505284252,0.28870047108461944,10.044228676296438,9.740671812588645e-24,7.53927998294361e-21
CA9,5.642044140495114,2.756440313421265,0.5941849749127109,4.639027289147124,3.5005283415393385e-6,3.4543033272709496e-5
HS6ST2,3.68587881011317,2.4259303507871146,0.4710229316606408,5.150344468865332,2.6000847087914907e-7,4.024931129209228e-6
UGT2B17,6.3404537777731225,2.3698195673773585,0.448556163513526,5.283217042019082,1.2693485693302267e-7,2.207810770026057e-6
PYCR1,66.83009904167183,2.3693968083148222,0.2981640297685189,7.946621898537912,1.9166627199943764e-15,4.944989817585491e-13
CYP19A1,2.439591373257175,2.355892961341391,0.40326831313944256,5.841998700569285,5.157820892849864e-9,1.448573564494258e-7
ADH6,1.5381415676785295,2.347555389807095,0.7429033733756033,3.1599740611491316,0.00157783185212749,0.006822580187411604
NDUFA4L2,102.0744095165413,2.2876334354992802,0.4417893840355619,5.178108660291251,2.2414667281231032e-7,3.652411047510067e-6
B3GNT3,3.126690742183401,2.2498688955238983,0.44389155309158335,5.0685102698039115,4.0094135359297883e-07,5.911021098685059e-6
CHAC1,11.293665058340032,2.205566567522517,0.36317405209885995,6.073029047026019,1.2551973973038734e-9,4.7391355390887714e-8
UGT8,10.267995414197774,2.2054577599784504,0.28005386456196796,7.875119893196279,3.404162646823163e-15,7.528062538974652e-13
PLA2G1B,95.54220575095093,-2.132832002715034,0.46281089982081813,-4.608430794393091,4.05719369984099e-6,3.853089476904204e-5
PLA2G4F,14.402789179332121,-2.1244631089138,0.427581222185155,-4.968560354584155,6.745180657720774e-7,9.079599702740659e-6
CYP2A6,1.073537926677567,-2.121743410095876,0.7509030281598843,-2.825589098096044,0.0047193760873216065,0.016417065580165948
OTC,3.231977947355674,-2.1073870413477813,0.525896645112475,-4.007226630808927,6.14359061365468e-5,4.3425928173230344e-4
ELOVL2,2.5275446420374443,2.062288680768161,0.7186845747118784,2.8695324114823744,0.004110791995845155,0.01479885118504256
GLDC,9.36129085155287,2.061263265963274,0.41428145300324654,4.975514233187554,6.507465237998024e-7,8.894727301742443e-6
ACADL,19.249148137203676,-2.0366613787255377,0.38885115053750824,-5.237637527651041,1.626450957910246e-7,2.736680524831588e-6
CA4,57.39465165222103,-2.01644128094461,0.5125244035796866,-3.9343322324965087,8.342831786365143e-5,5.590780781512225e-4
GPX2,6.808648641348512,1.9949620625957365,0.4028438959242046,4.952196329098878,7.338051380167076e-7,9.466086280415528e-6
B4GALNT4,2.13132089193189,1.98637023739928,0.5735185348701771,3.463480457260059,5.33235327742463e-4,0.0027606966131950928
ADCY8,0.7592692467398107,-1.9793268414955365,0.5791536647269192,-3.417619471386446,6.317136177030276e-4,0.003167385316196193
