"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00230","Purine metabolism",8,"AK6/NUDT16/NME1/PRPS1/PDE3B/GMPS/PRPS2/DCK"
"hsa01232","Nucleotide metabolism",6,"AK6/NUDT16/DUT/NME1/GMPS/DCK"
"hsa01200","Carbon metabolism",6,"RPIA/PRPS1/ADPGK/PRPS2/IDH3B/PFKL"
"hsa00513","Various types of N-glycan biosynthesis",5,"MAN1A2/STT3B/RPN2/ALG13/FUT8"
"hsa00510","N-Glycan biosynthesis",5,"MAN1A2/STT3B/RPN2/ALG13/FUT8"
"hsa01230","Biosynthesis of amino acids",5,"RPIA/PRPS1/PRPS2/IDH3B/PFKL"
"hsa00190","Oxidative phosphorylation",5,"NDUFS2/UQCR10/NDUFB5/ATP6V1D/ATP6V0D1"
"hsa00030","Pentose phosphate pathway",4,"RPIA/PRPS1/PRPS2/PFKL"
"hsa00983","Drug metabolism - other enzymes",4,"DUT/NME1/GUSB/GMPS"
"hsa00240","Pyrimidine metabolism",3,"DUT/NME1/DCK"
"hsa00010","Glycolysis / Gluconeogenesis",3,"ADPGK/GALM/PFKL"
"hsa00564","Glycerophospholipid metabolism",3,"ETNK1/DGKZ/LPIN1"
"hsa04142","Lysosome",3,"GUSB/ARSA/ATP6V0D1"
"hsa01240","Biosynthesis of cofactors",3,"AK6/NME1/GUSB"
"hsa04932","Non-alcoholic fatty liver disease",3,"NDUFS2/UQCR10/NDUFB5"
"hsa04141","Protein processing in endoplasmic reticulum",3,"MAN1A2/STT3B/RPN2"
"hsa05415","Diabetic cardiomyopathy",3,"NDUFS2/UQCR10/NDUFB5"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",3,"NDUFS2/UQCR10/NDUFB5"
"hsa04714","Thermogenesis",3,"NDUFS2/UQCR10/NDUFB5"
"hsa05012","Parkinson disease",3,"NDUFS2/UQCR10/NDUFB5"
"hsa05020","Prion disease",3,"NDUFS2/UQCR10/NDUFB5"
"hsa05016","Huntington disease",3,"NDUFS2/UQCR10/NDUFB5"
"hsa05014","Amyotrophic lateral sclerosis",3,"NDUFS2/UQCR10/NDUFB5"
"hsa05010","Alzheimer disease",3,"NDUFS2/UQCR10/NDUFB5"
"hsa05022","Pathways of neurodegeneration - multiple diseases",3,"NDUFS2/UQCR10/NDUFB5"
"hsa04966","Collecting duct acid secretion",2,"ATP6V1D/ATP6V0D1"
"hsa00020","Citrate cycle (TCA cycle)",2,"ACLY/IDH3B"
"hsa00410","beta-Alanine metabolism",2,"CNDP2/MLYCD"
"hsa00052","Galactose metabolism",2,"GALM/PFKL"
"hsa00280","Valine, leucine and isoleucine degradation",2,"ACAA1/ACSF3"
"hsa05110","Vibrio cholerae infection",2,"ATP6V1D/ATP6V0D1"
"hsa01212","Fatty acid metabolism",2,"ACAA1/ACSF3"
"hsa00561","Glycerolipid metabolism",2,"DGKZ/LPIN1"
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",2,"ATP6V1D/ATP6V0D1"
"hsa03018","RNA degradation",2,"NUDT16/PFKL"
"hsa04721","Synaptic vesicle cycle",2,"ATP6V1D/ATP6V0D1"
"hsa04146","Peroxisome",2,"ACAA1/MLYCD"
"hsa05323","Rheumatoid arthritis",2,"ATP6V1D/ATP6V0D1"
"hsa04922","Glucagon signaling pathway",2,"PDE3B/PFKL"
"hsa04152","AMPK signaling pathway",2,"PFKL/MLYCD"
"hsa04936","Alcoholic liver disease",2,"MLYCD/LPIN1"
"hsa04723","Retrograde endocannabinoid signaling",2,"NDUFS2/NDUFB5"
"hsa04150","mTOR signaling pathway",2,"ATP6V1D/LPIN1"
"hsa04145","Phagosome",2,"ATP6V1D/ATP6V0D1"
"hsa05165","Human papillomavirus infection",2,"ATP6V1D/ATP6V0D1"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",1,"FUT8"
"hsa00061","Fatty acid biosynthesis",1,"ACSF3"
"hsa00531","Glycosaminoglycan degradation",1,"GUSB"
"hsa00541","Biosynthesis of various nucleotide sugars",1,"CYB5R4"
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,"CHST12"
"hsa00340","Histidine metabolism",1,"CNDP2"
"hsa00592","alpha-Linolenic acid metabolism",1,"ACAA1"
"hsa01040","Biosynthesis of unsaturated fatty acids",1,"ACAA1"
"hsa00053","Ascorbate and aldarate metabolism",1,"GUSB"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,"PIGT"
"hsa00640","Propanoate metabolism",1,"MLYCD"
"hsa01210","2-Oxocarboxylic acid metabolism",1,"IDH3B"
"hsa00051","Fructose and mannose metabolism",1,"PFKL"
"hsa00040","Pentose and glucuronate interconversions",1,"GUSB"
"hsa00512","Mucin type O-glycan biosynthesis",1,"GALNT2"
"hsa00760","Nicotinate and nicotinamide metabolism",1,"NMRK1"
"hsa00670","One carbon pool by folate",1,"SARDH"
"hsa00260","Glycine, serine and threonine metabolism",1,"SARDH"
"hsa00071","Fatty acid degradation",1,"ACAA1"
"hsa00860","Porphyrin metabolism",1,"GUSB"
"hsa00514","Other types of O-glycan biosynthesis",1,"GALNT2"
"hsa00330","Arginine and proline metabolism",1,"CNDP2"
"hsa00270","Cysteine and methionine metabolism",1,"ENOPH1"
"hsa00600","Sphingolipid metabolism",1,"ARSA"
"hsa04923","Regulation of lipolysis in adipocytes",1,"PDE3B"
"hsa00310","Lysine degradation",1,"KMT2E"
"hsa04924","Renin secretion",1,"PDE3B"
"hsa05230","Central carbon metabolism in cancer",1,"PFKL"
"hsa03320","PPAR signaling pathway",1,"ACAA1"
"hsa04260","Cardiac muscle contraction",1,"UQCR10"
"hsa05032","Morphine addiction",1,"PDE3B"
"hsa04070","Phosphatidylinositol signaling system",1,"DGKZ"
"hsa05231","Choline metabolism in cancer",1,"DGKZ"
"hsa04066","HIF-1 signaling pathway",1,"PFKL"
"hsa04914","Progesterone-mediated oocyte maturation",1,"PDE3B"
"hsa04919","Thyroid hormone signaling pathway",1,"PFKL"
"hsa04910","Insulin signaling pathway",1,"PDE3B"
"hsa04371","Apelin signaling pathway",1,"PDE3B"
"hsa04072","Phospholipase D signaling pathway",1,"DGKZ"
"hsa04022","cGMP-PKG signaling pathway",1,"PDE3B"
"hsa05152","Tuberculosis",1,"ATP6V0D1"
